model_type,id,precision,recall,accuracy,f1,fbeta_2_,fbeta_3_,fbeta_4_,cohen_kappa,matthew_coef,tp_1,tp_0,fp_1,fp_0,tn_1,tn_0,fn_1,fn_0
sim_400_80,DUM-1-2,0.8040201005025126,1.0,0.8040201005025126,0.8913649025069638,0.9535160905840286,0.9762050030506406,0.9858644436389996,0.0,0.0,160,0,39,0,0,160,0,39
sim_400_85,DUM-1-1,0.85,1.0,0.85,0.918918918918919,0.9659090909090909,0.9826589595375722,0.9897260273972602,0.0,0.0,170,0,30,0,0,170,0,30
sim_400_85,DUM-1-2,0.855,1.0,0.855,0.921832884097035,0.9671945701357466,0.983323749281196,0.9901226158038147,0.0,0.0,171,0,29,0,0,171,0,29
sim_400_90,DUM-1-1,0.9,1.0,0.9,0.9473684210526315,0.9782608695652174,0.989010989010989,0.9935064935064936,0.0,0.0,180,0,20,0,0,180,0,20
sim_400_90,DUM-1-2,0.9045226130653267,1.0,0.9045226130653267,0.9498680738786279,0.9793253536452666,0.9895547003848268,0.9938291653134135,0.0,0.0,180,0,19,0,0,180,0,19
sim_400_95,DUM-1-1,0.95,1.0,0.95,0.9743589743589743,0.9895833333333334,0.9947643979057592,0.9969135802469136,0.0,0.0,190,0,10,0,0,190,0,10
sim_400_95,DUM-1-2,0.95,1.0,0.95,0.9743589743589743,0.9895833333333334,0.9947643979057592,0.9969135802469136,0.0,0.0,190,0,10,0,0,190,0,10
sim_50_50,DUM-1-1,0.48,1.0,0.48,0.6486486486486487,0.821917808219178,0.9022556390977443,0.9400921658986175,0.0,0.0,12,0,13,0,0,12,0,13
sim_50_50,DUM-1-2,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0,12,0,13,12,0,13,0
sim_50_55,DUM-1-1,0.56,1.0,0.56,0.717948717948718,0.8641975308641975,0.9271523178807947,0.9558232931726908,0.0,0.0,14,0,11,0,0,14,0,11
sim_50_55,DUM-1-2,0.56,1.0,0.56,0.717948717948718,0.8641975308641975,0.9271523178807947,0.9558232931726908,0.0,0.0,14,0,11,0,0,14,0,11
sim_50_60,DUM-1-1,0.6,1.0,0.6,0.75,0.8823529411764706,0.9375,0.9622641509433962,0.0,0.0,15,0,10,0,0,15,0,10
sim_50_60,DUM-1-2,0.6,1.0,0.6,0.75,0.8823529411764706,0.9375,0.9622641509433962,0.0,0.0,15,0,10,0,0,15,0,10
sim_50_65,DUM-1-1,0.64,1.0,0.64,0.7804878048780488,0.898876404494382,0.9467455621301775,0.9679715302491103,0.0,0.0,16,0,9,0,0,16,0,9
sim_50_65,DUM-1-2,0.68,1.0,0.68,0.8095238095238095,0.9139784946236559,0.9550561797752809,0.9730639730639731,0.0,0.0,17,0,8,0,0,17,0,8
sim_50_70,DUM-1-1,0.68,1.0,0.68,0.8095238095238095,0.9139784946236559,0.9550561797752809,0.9730639730639731,0.0,0.0,17,0,8,0,0,17,0,8
sim_50_70,DUM-1-2,0.72,1.0,0.72,0.8372093023255814,0.9278350515463918,0.9625668449197861,0.9776357827476039,0.0,0.0,18,0,7,0,0,18,0,7
sim_50_75,DUM-1-1,0.76,1.0,0.76,0.8636363636363636,0.9405940594059405,0.9693877551020408,0.9817629179331308,0.0,0.0,19,0,6,0,0,19,0,6
sim_50_75,DUM-1-2,0.76,1.0,0.76,0.8636363636363636,0.9405940594059405,0.9693877551020408,0.9817629179331308,0.0,0.0,19,0,6,0,0,19,0,6
sim_50_80,DUM-1-1,0.8,1.0,0.8,0.8888888888888888,0.9523809523809523,0.975609756097561,0.9855072463768116,0.0,0.0,20,0,5,0,0,20,0,5
sim_50_80,DUM-1-2,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,0.9615384615384616,0.9803921568627451,0.9883720930232558,0.0,0.0,20,0,4,0,0,20,0,4
sim_50_85,DUM-1-1,0.84,1.0,0.84,0.9130434782608695,0.963302752293578,0.9813084112149533,0.9889196675900277,0.0,0.0,21,0,4,0,0,21,0,4
sim_50_85,DUM-1-2,0.88,1.0,0.88,0.9361702127659575,0.9734513274336283,0.9865470852017937,0.9920424403183024,0.0,0.0,22,0,3,0,0,22,0,3
sim_50_90,DUM-1-1,0.92,1.0,0.92,0.9583333333333334,0.9829059829059829,0.9913793103448276,0.9949109414758269,0.0,0.0,23,0,2,0,0,23,0,2
sim_50_90,DUM-1-2,0.9166666666666666,1.0,0.9166666666666666,0.9565217391304348,0.9821428571428571,0.990990990990991,0.9946808510638298,0.0,0.0,22,0,2,0,0,22,0,2
sim_50_95,DUM-1-1,0.96,1.0,0.96,0.9795918367346939,0.9917355371900827,0.995850622406639,0.9975550122249389,0.0,0.0,24,0,1,0,0,24,0,1
sim_50_95,DUM-1-2,0.96,1.0,0.96,0.9795918367346939,0.9917355371900827,0.995850622406639,0.9975550122249389,0.0,0.0,24,0,1,0,0,24,0,1
sim_800_50,DUM-1-1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,200,0,200,200,0,200,0
sim_800_50,DUM-1-2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,200,0,200,200,0,200,0
sim_800_55,DUM-1-1,0.55,1.0,0.55,0.7096774193548387,0.859375,0.9243697478991597,0.9540816326530612,0.0,0.0,220,0,180,0,0,220,0,180
sim_800_55,DUM-1-2,0.5525,1.0,0.5525,0.711755233494364,0.8605919003115264,0.9250732524068648,0.9545223577235772,0.0,0.0,221,0,179,0,0,221,0,179
sim_800_60,DUM-1-1,0.6,1.0,0.6,0.75,0.8823529411764706,0.9375,0.9622641509433962,0.0,0.0,240,0,160,0,0,240,0,160
sim_800_60,DUM-1-2,0.6,1.0,0.6,0.75,0.8823529411764706,0.9375,0.9622641509433962,0.0,0.0,240,0,160,0,0,240,0,160
sim_800_65,DUM-1-1,0.65,1.0,0.65,0.7878787878787878,0.9027777777777778,0.948905109489051,0.9692982456140351,0.0,0.0,260,0,140,0,0,260,0,140
sim_800_65,DUM-1-2,0.65,1.0,0.65,0.7878787878787878,0.9027777777777778,0.948905109489051,0.9692982456140351,0.0,0.0,260,0,140,0,0,260,0,140
sim_800_70,DUM-1-1,0.7,1.0,0.7,0.8235294117647058,0.9210526315789473,0.958904109589041,0.9754098360655737,0.0,0.0,280,0,120,0,0,280,0,120
sim_800_70,DUM-1-2,0.7,1.0,0.7,0.8235294117647058,0.9210526315789473,0.958904109589041,0.9754098360655737,0.0,0.0,280,0,120,0,0,280,0,120
sim_800_75,DUM-1-1,0.75,1.0,0.75,0.8571428571428571,0.9375,0.967741935483871,0.9807692307692307,0.0,0.0,300,0,100,0,0,300,0,100
sim_800_75,DUM-1-2,0.75,1.0,0.75,0.8571428571428571,0.9375,0.967741935483871,0.9807692307692307,0.0,0.0,300,0,100,0,0,300,0,100
sim_800_80,DUM-1-1,0.8,1.0,0.8,0.8888888888888888,0.9523809523809523,0.975609756097561,0.9855072463768116,0.0,0.0,320,0,80,0,0,320,0,80
sim_800_80,DUM-1-2,0.8020050125313283,1.0,0.8020050125313283,0.8901251738525731,0.9529481834425253,0.9759072888075633,0.9856858126472187,0.0,0.0,320,0,79,0,0,320,0,79
sim_800_85,DUM-1-1,0.85,1.0,0.85,0.918918918918919,0.9659090909090909,0.9826589595375722,0.9897260273972602,0.0,0.0,340,0,60,0,0,340,0,60
sim_800_85,DUM-1-2,0.8525,1.0,0.8525,0.9203778677462888,0.9665532879818595,0.9829922167771692,0.9899248633879781,0.0,0.0,341,0,59,0,0,341,0,59
sim_800_90,DUM-1-1,0.9,1.0,0.9,0.9473684210526315,0.9782608695652174,0.989010989010989,0.9935064935064936,0.0,0.0,360,0,40,0,0,360,0,40
sim_800_90,DUM-1-2,0.9022556390977443,1.0,0.9022556390977443,0.9486166007905138,0.9787928221859706,0.989282769991756,0.9936678032148076,0.0,0.0,360,0,39,0,0,360,0,39
sim_800_95,DUM-1-1,0.95,1.0,0.95,0.9743589743589743,0.9895833333333334,0.9947643979057592,0.9969135802469136,0.0,0.0,380,0,20,0,0,380,0,20
sim_800_95,DUM-1-2,0.95,1.0,0.95,0.9743589743589743,0.9895833333333334,0.9947643979057592,0.9969135802469136,0.0,0.0,380,0,20,0,0,380,0,20
