PseudoID,M546980,M500458,M545731,M533840,M568671,M500312,M555496,M595483,M545313,M582014,M551262,M589819,M599421,M537226,M594455,M555258,M528662,M540101,M557500,M592855,M592593,M537130,M550040,M521338,M549904,UniSp4,M527219,M575624,M513552,M512914,M510218,M503257,M589283,M528205,M556038,M534459,M568363,M578371,M554956,M504849,M533067,M567468,M571201,M560046,M543625,M578816,M569912,M527306,M575600,M583270,M587063,M539339,M500786,M511006,M542419,M526581,M564991,M500850,M583234,M598640,UniSp6,M581305,M558622,M596656,M519895,M508663,M562884,M555824,M575307,M595344,M577494,M562618,M520731,M521662,M585231,M580497,M534697,M525015,M550367,M569679,M583617,M592847,M581022,M501655,M579984,M500673,M526839,M573575,M589482,M515950,M540958,M575100,M562636,M588194,M566284,M596452,M517081,M562598,M528263,M558234,M581923,M585191,M540969,M588021,M527905,M593461,M516970,M598858,M527197,M519103,M547854,M554022,M579664,M552528,M551175,M548578,M559102,M566199,M575036,M547368,M532769,M551773,M540935,M553208,M511260,M501735,M530657,M595841,M555060,M545577,DiseaseSubtypeFull,DiseaseSubtype
S1451,2.8746,1.2346,4.6756,8.3876,0.8976,-0.6484,-2.5584,8.0706,5.4346,0.3336,1.3836,7.6526,2.4406,3.3456,2.6086,8.5186,5.5376,-3.1994,2.7276,4.7196,3.6506,4.1646,4.4006,6.2056,0.5236,-1.8274,4.5056,5.0896,-3.1954,-2.5174,3.3836,1.3776,-7.4144,4.2146,-0.0904,2.5266,5.3576,3.8466,4.2166,5.3046,4.8706,4.8516,-2.9564,4.6846,5.5716,1.7606,3.4616,6.6216,2.6016,5.0376,1.5156,3.5906,3.0906,5.0566,-1.2324,12.1288,3.1456,6.6086,3.5736,6.9336,-9.4214,7.5736,8.2386,1.2396,4.1906,4.4336,0.0506,2.6976,4.9036,2.6406,5.3976,5.7496,6.4966,1.4046,5.6616,2.9136,7.1136,0.6596,4.4046,2.4386,3.7646,4.2856,2.1616,0.6956,1.6386,-0.7244,12.3386,5.5266,6.9486,-1.4564,3.0586,3.3596,6.6836,-1.0104,5.2896,4.6126,4.0036,4.1656,4.1616,-0.3844,2.7956,2.2806,4.2476,5.3106,-3.1414,7.8786,-0.9114,1.7056,2.4586,3.4426,5.5006,6.9566,3.2976,3.8186,4.7046,7.3646,3.1846,7.3946,2.0416,1.6636,3.8116,2.2756,-4.3694,8.8896,3.4726,-2.2864,-0.7154,6.9296,-0.9074,4.7036,PPGL,4
S1116,0.8634,-1.7566,4.6534,6.3884,-1.3556,1.1844,-1.8016,8.2884,5.0914,-1.7566,0.3854,6.4224,0.5454,1.0354,-0.4406,6.8284,4.8674,-0.3386,3.6384,1.5854,2.3824,4.7734,5.0944,7.4634,0.7794,-1.7176,1.1684,3.6734,-2.2846,-0.8426,5.5994,3.1504,-4.4376,2.4614,-1.4846,2.3054,4.3094,1.8564,2.5754,4.7914,3.3594,4.2134,-0.9186,3.3124,4.0004,0.9284,3.1484,6.2534,3.5434,2.1494,0.9054,1.6194,0.9174,5.7774,-0.8986,3.8654,-0.0226,5.2914,3.9414,4.7814,-9.0566,6.7514,8.1814,0.4334,2.2224,4.3484,-1.4436,2.9164,5.4934,2.4864,5.9374,7.2184,7.8914,1.1754,7.9124,2.1214,6.5544,-0.8286,3.8304,4.7824,2.6254,3.6974,-0.1246,1.7264,1.7454,-0.2846,7.1864,9.3694,6.6644,-3.8586,0.5704,4.3874,6.5454,-1.3106,3.2394,4.3354,3.4294,2.2104,4.6114,-1.3556,3.0584,0.1174,1.0184,2.1124,-2.2516,3.7204,1.7414,3.8724,1.5124,4.4004,5.7544,4.7084,2.5954,1.2284,2.2554,4.2894,3.1474,6.9474,0.8094,1.8884,0.9574,1.9314,-3.2716,3.6654,1.5784,-3.6546,-1.9996,5.0364,-2.7806,7.5974,PHT,2
S1023,1.5496,-1.2814,1.9296,3.8216,-0.5544,1.2916,-1.7014,8.7536,4.6206,-1.5954,0.6126,7.1026,0.9836,1.4756,0.9206,5.9056,2.6216,-0.6324,4.3916,3.4446,0.8976,3.9806,4.1616,7.3416,1.6836,-0.5314,1.8006,3.0396,-1.5054,-0.3114,4.6646,3.3436,-4.1354,2.3166,-2.2514,3.1036,3.9436,1.4426,2.2126,5.6096,3.2336,4.8866,-0.7874,2.2856,5.1146,0.6406,4.5906,5.0636,3.9116,3.0256,-0.7184,1.5596,1.0676,7.8436,-1.2154,4.2846,0.9096,5.4826,5.3876,6.1706,-8.8364,6.1826,14.3542,1.5336,1.3776,4.1966,-1.0874,3.5166,5.9966,1.9616,5.6496,6.2006,6.4696,1.8976,5.1796,3.6946,3.6616,-1.2064,3.9196,4.7186,2.4356,3.1206,-0.0784,-1.0964,1.4996,0.4236,6.0166,5.3346,8.1036,-3.4184,0.2376,4.7896,3.8976,-0.5994,3.4136,1.9926,4.7476,2.3696,4.2506,-2.2004,3.6776,0.6426,1.3846,2.0616,-1.6794,4.3796,2.4306,4.1456,1.9336,6.2466,6.4926,4.6036,2.2816,2.2936,3.2946,5.3486,4.0236,5.2216,1.6496,2.3666,0.4636,3.8846,-2.7634,4.2896,4.0396,-2.7224,0.1356,5.3826,-2.7514,6.4846,PHT,2
S1261,2.8164,1.6714,5.3294,5.4684,1.4834,-0.8416,-2.6946,8.9194,4.7594,1.3224,0.2544,7.8474,3.6314,2.9184,3.4264,9.2034,6.1344,-3.5596,3.0104,2.8824,4.1544,6.5494,9.0814,6.0544,0.8064,-0.6406,3.7864,3.7034,-3.6426,-2.5976,3.0944,1.1614,-7.8806,5.0124,0.7564,2.1464,4.7014,4.4174,5.0254,6.3674,4.8944,5.1994,-3.3726,5.5024,9.7784,1.7584,3.7664,6.0034,4.6964,4.6114,2.1474,4.0034,3.5884,6.9724,-0.5226,6.7414,3.2224,5.5004,4.2484,6.7124,-8.3586,7.9724,10.1504,1.3794,3.5754,4.5314,-0.4736,2.3324,4.2294,3.8404,6.8144,7.5894,7.7504,0.9734,6.4174,2.1574,8.0164,1.1694,5.2654,1.9914,4.9454,4.1814,2.3844,0.2254,0.5314,-1.2216,10.2754,6.2454,4.2284,-0.9066,1.8744,2.7854,7.2434,-1.4536,5.1594,5.5844,3.9574,4.1434,3.8944,0.1024,1.7274,1.8044,4.2674,5.4754,-3.7396,5.6524,-1.7626,1.0814,1.8494,6.5404,8.4784,6.2214,3.8224,3.8864,5.4274,8.0204,2.2384,9.0894,2.0794,0.8824,3.8744,2.6054,-4.9136,9.1754,3.9024,-2.2226,0.3694,8.0634,-0.3876,5.3194,CS,5
S1316,1.264,-1.779,2.042,2.661,-1.675,1.25,-1.979,9.72,4.229,-1.279,0.578,5.59,1.696,0.635,-0.082,8.281,1.655,-0.795,5.721,1.902,2.882,3.791,5.397,6.529,2.04,-1.268,0.919,2.837,-2.308,-0.108,4.411,3.304,-3.351,2.047,-1.067,2.188,4.758,2.479,2.261,4.378,3.883,4.117,-1.356,4.081,4.166,0.537,4.956,5.15,3.131,1.945,0.902,0.876,2.047,6.445,-0.283,5.075,-0.468,4.148,5.429,4.902,-9.561,6.164,14.3542,0.634,1.931,4.106,-1.623,2.431,5.83,2.706,7.497,7.443,6.726,0.721,5.616,1.445,3.713,-0.83,4.275,6.132,2.689,2.908,-0.225,0.125,1.537,-0.149,5.093,13.0294,5.413,-3.655,0.918,4.055,3.464,-1.734,2.939,1.507,4.481,3.43,5.759,-1.515,4.003,-0.508,2.635,3.036,-2.325,3.547,3.299,4.045,1.994,3.924,5.402,4.064,2.916,1.129,2.423,4.839,3.797,6.017,1.76,2.122,0.988,3.818,-3.481,4.886,3.748,-3.534,-0.227,5.472,-3.064,7.36,PHT,2
S1038,2.9896,1.0346,4.1616,5.7206,0.9106,-0.0454,-2.4444,8.5396,5.1586,0.1806,1.1656,7.0956,2.3906,2.8046,2.5006,8.5016,7.3696,-3.0864,4.2656,3.0736,3.5016,3.6126,5.8906,7.6406,0.3346,-1.8644,2.6656,3.7156,-2.4484,-1.5224,4.0906,2.1966,-7.6294,3.6916,-0.1144,2.3676,5.2646,3.0686,5.4256,6.9266,5.4676,5.1356,-2.5334,5.0536,3.7826,1.9066,3.6306,6.4246,2.4136,4.4436,1.8346,3.4026,2.9086,5.8776,-0.7834,7.0406,3.0106,9.0596,4.4356,5.9826,-10.4414,8.0366,6.6296,1.9256,4.0846,4.2476,0.2446,2.5206,6.0346,2.1096,4.6166,14.8358,5.2446,1.7116,5.8276,3.4056,9.6116,0.3916,4.4236,4.0036,3.4366,4.5496,1.7266,-1.2204,1.3346,-0.4114,12.3386,5.9936,10.9686,-1.7874,2.8856,2.8656,6.3686,-1.3434,4.5806,4.8516,3.5516,3.7566,4.0376,-0.4264,2.9026,1.8186,3.6686,4.8766,-2.6144,6.4106,-0.8094,2.0726,2.7616,5.1906,7.6146,5.6966,2.7236,3.7766,4.3776,8.5416,2.9716,7.4136,3.3466,2.0556,3.1946,2.5456,-4.0234,14.0366,3.3466,-2.0754,-0.4104,6.7216,-0.8814,5.1226,PHT,2
S1118,0.743,-1.61,5.185,6.228,-1.196,1.996,-1.79,7.865,5.148,-1.672,0.413,6.705,0.405,1.305,0.356,4.97,4.969,0.186,4.206,2.425,2.369,4.27,4.317,8.234,1.029,-0.869,1.484,3.1,-1.82,-0.527,5.489,3.389,-4.066,4.145,-1.467,3.608,2.849,2.834,2.777,5.834,3.944,4.669,-0.432,3.177,5.877,0.381,4.148,6.87,4.712,2.346,1.403,1.69,0.994,5.184,0.012,2.97,-0.229,4.275,4.71,5.645,-8.52,6.139,8.44,0.363,1.427,4.201,-1.021,3.62,6.091,2.531,5.952,8.275,8.303,1.897,7.699,2.66,5.762,-0.882,4.658,4.838,2.54,4.314,0.202,1.41,1.156,0.553,5.537,6.912,6.003,-3.616,0.372,4.707,6.813,-0.422,3.369,4.3,4.086,2.126,6.571,-0.493,4.523,0.499,0.671,2.362,-2.014,4.38,3.035,4.148,1.787,4.26,5.814,5.891,2.996,2.119,2.613,4.4,3.695,7.56,1.516,1.042,-0.075,3.229,-3.073,3.629,2.807,-2.475,1.152,5.53,-2.656,6.922,PHT,2
S1151,2.2596,-0.6004,3.3716,5.6986,0.1486,0.1426,-2.0134,15.92,5.4926,-0.9284,0.9586,6.6876,1.6296,2.1006,1.2526,6.1976,3.5956,-2.3724,3.3236,2.9046,2.3296,4.5626,6.5416,6.5776,1.0646,-1.9234,2.3936,3.6406,-2.5284,-1.8054,4.3586,1.8146,-6.7654,3.4686,-1.3104,2.5706,4.6376,2.8356,2.6676,6.0126,3.9696,4.6816,-2.2174,3.8576,6.2326,0.9666,4.3626,4.5536,4.0936,2.6936,0.8626,2.3076,1.9806,3.8376,-1.1314,6.5726,1.1166,5.5786,2.8806,6.7396,-9.2564,6.9836,7.8266,1.1326,1.7666,5.1516,-0.7394,2.6736,5.0936,2.3876,5.6866,6.6676,6.4846,1.1356,5.3916,2.5376,4.1426,-0.4034,5.0236,3.2356,3.0126,3.3366,0.7886,2.1316,1.1186,-0.5494,6.8146,5.9026,4.9656,-2.8064,1.3946,3.8746,5.0316,-0.9984,3.0646,2.7696,4.7486,2.9946,2.9636,-1.6514,3.1556,1.3146,3.1406,3.2776,-2.8724,5.1396,-0.9614,2.0696,1.8716,4.1436,7.2286,6.2276,3.4986,2.6906,3.9556,5.6336,3.5276,5.4106,1.7216,2.1756,1.3616,2.6316,-3.9924,5.5616,3.6736,-2.6444,0.5756,5.8806,-2.1684,5.4156,PA,3
S1146,2.3812,0.2292,4.2002,5.1052,0.3102,0.1512,-2.0358,7.0862,4.9432,-0.5178,0.8172,7.0482,1.6302,2.0172,1.9312,3.8772,4.5942,-2.5508,3.6562,2.7622,2.4132,4.1852,3.1812,6.6122,1.4262,-1.1458,2.7962,3.2692,-2.8148,-2.0638,4.3982,1.6992,-6.9008,3.6762,-0.9128,2.9772,3.8502,3.2092,3.9462,5.7852,4.2072,5.4392,-2.0068,4.1702,4.4102,1.6172,3.8882,5.3092,4.5252,3.5632,0.8232,2.9862,2.0412,2.0772,-0.1028,4.7552,1.4772,6.1452,3.9142,6.1002,-9.1548,6.7722,7.3552,1.0422,3.0292,5.9722,-0.1198,2.2512,6.0742,2.6532,4.9032,5.5802,6.2572,1.9092,5.2632,3.0402,5.4542,0.4712,4.5232,2.9602,3.3152,3.4102,0.8472,0.7332,1.4432,-0.8468,8.3172,5.6922,12.1272,-2.5128,1.3532,3.1512,5.7252,-1.1278,4.6412,4.0352,4.1532,2.8172,3.9202,-1.3038,3.1412,1.1642,2.8442,3.9262,-2.5168,5.7252,-0.2518,2.1602,2.5322,4.7662,5.9642,5.6432,-0.0298,3.4862,4.2912,6.5552,2.9842,6.0602,2.8002,1.1562,1.3562,1.9062,-3.6298,5.4152,2.5632,-2.6688,-0.9878,6.2572,-1.5058,5.4282,PA,3
S1066,2.6866,1.9566,7.0266,7.2396,0.7346,-1.0014,-2.5684,9.0246,3.9926,-0.3884,1.8056,6.7316,3.3286,1.2456,1.4336,8.6376,7.4856,-2.9324,2.9456,0.6746,4.0536,6.1746,8.0986,6.1656,1.0086,0.4146,3.1116,4.0916,-2.6634,-2.4554,3.4876,1.1836,-7.3274,4.5596,0.9276,2.5476,3.6196,5.0816,5.9206,4.8996,3.5876,4.0936,-2.9814,5.8986,7.2446,1.9466,2.8366,7.9516,5.9756,5.3366,1.7976,3.5036,0.6776,6.7776,-1.5384,7.1726,3.1756,5.8926,0.7776,3.4336,-6.6834,7.1566,10.3626,1.1296,4.5326,5.0456,0.3416,1.9656,5.2926,3.6246,5.5106,8.1936,4.9526,1.6726,9.3416,2.3906,8.6666,0.7126,5.8356,1.9796,4.4506,2.1196,3.0546,4.8386,0.7706,-0.4534,8.1326,3.7406,5.5496,-2.8104,1.3466,2.6156,8.1056,-0.9554,2.2086,6.1386,3.2936,5.1886,3.4406,0.6376,2.9426,0.9536,4.9766,5.5526,-3.1094,7.4016,-0.6664,1.2486,0.0146,6.1376,7.6246,4.7476,5.1326,5.3196,4.2246,6.0296,3.0106,9.0176,1.1386,1.1286,2.2956,1.1166,-4.6204,7.1336,0.9936,-1.0004,-1.5294,6.5326,-2.1184,6.1556,CS,5
S1089,0.4942,-2.1248,3.1202,4.4682,-0.9498,1.5002,-2.0018,9.1752,4.7992,-1.5858,-0.1128,7.2822,0.3752,0.8832,0.3322,6.6202,3.2332,-0.9848,4.0472,2.6902,2.3112,5.0972,4.4202,9.4452,1.4132,0.0272,0.5962,2.9252,-2.0678,-0.4088,4.6392,3.4792,-4.2208,2.8582,-1.2228,2.3232,3.9922,2.8552,2.7832,4.9882,3.3002,4.9912,-0.9598,3.8722,6.7352,0.6202,4.1372,4.9992,3.9262,2.6252,1.3532,1.2242,1.2822,5.7592,0.0082,2.2932,-0.0268,4.1472,4.8942,5.4112,-8.2828,6.7542,9.1012,0.4722,1.5522,3.9882,-1.7448,3.1132,5.4182,3.1242,6.3872,7.0732,7.8552,0.9632,7.1852,3.1182,4.6952,-1.3728,4.6852,4.8112,2.6632,3.8932,-0.0608,3.2422,0.8882,0.4982,5.8122,6.9462,5.4222,-3.7128,-0.0648,5.7082,5.2172,-1.8558,2.9812,3.0742,3.5072,1.5312,5.1962,-0.2398,3.1142,-0.2408,1.0312,1.8282,-1.8508,4.0792,2.1632,4.1032,2.2712,4.6122,5.9052,4.8212,3.0352,1.5852,1.9582,4.5442,3.2402,6.7762,3.1892,1.0812,0.9272,3.8912,-3.0688,3.8212,3.9172,-2.4828,0.5222,5.3632,-3.2358,7.2792,PHT,2
S1137,1.4674,-1.8656,1.6124,4.8424,-0.1266,0.8584,-1.8846,15.92,4.8294,-1.3326,-0.0906,5.8334,0.0314,1.3284,1.3854,6.7894,2.5874,-2.0376,4.7254,1.9944,1.3854,4.2674,4.9314,6.5904,0.9354,-1.0376,0.7944,2.3434,-2.1236,-0.7056,3.9114,3.1874,-5.3976,2.6224,-1.7886,2.6704,4.5624,1.9884,2.1284,4.7974,3.4344,4.1744,-1.4886,3.4204,4.9684,0.8564,4.7064,3.6244,3.0434,3.3524,-0.1406,1.4474,1.2614,5.7354,-0.4096,4.3484,0.4814,4.6994,5.0464,5.0244,-9.9766,6.7284,8.1444,1.0924,0.6134,4.3784,-1.1836,2.4244,5.0334,2.8134,5.4314,14.8358,7.9844,1.2954,7.5734,3.4674,3.2344,-1.7696,5.3774,4.4634,2.0124,3.3284,-0.1956,2.1264,1.0294,0.3094,5.1764,6.1494,5.5764,-3.3376,-0.0686,5.1184,4.2564,-1.3116,3.2024,2.1064,3.7884,1.7864,3.7224,-2.1116,2.2314,0.4074,1.6604,2.0004,-2.5616,4.1374,0.8624,3.2404,2.9304,4.9954,10.3184,5.7734,3.8264,2.6464,2.4104,5.9924,2.8394,5.3374,1.5274,2.0394,1.3554,4.2694,-3.8656,5.2714,4.3484,-2.2656,-0.1046,5.4224,-2.5956,6.9664,PPGL,4
S1045,1.547,-0.168,4.169,5.535,-0.393,0.375,-1.924,15.92,5.526,-0.942,1.407,6.547,0.93,1.456,1.485,8.193,4.372,-2.387,3.279,2.613,1.917,3.083,6.735,6.177,1.289,-2.395,2.084,3.776,-1.943,-1.549,3.245,2.093,-6.939,3.161,-1.469,2.864,4.627,2.163,4.041,5.841,4.691,6.419,-1.676,3.708,2.371,0.839,4.014,4.734,2.469,3.537,0.286,1.839,1.853,4.992,0.085,5.044,1.735,6.618,4.86,7.262,-10.972,7.758,7.552,1.403,1.638,5.109,-0.862,1.99,6.302,2.946,7.123,14.8358,5.358,1.449,2.654,3.102,6.114,-0.382,3.888,2.909,3.125,2.867,0.472,-2.658,0.924,-0.176,5.084,4.389,5.194,-2.8,0.757,1.892,6.73,-0.743,3.821,5.064,4.255,2.242,2.838,-1.853,3.86,1.053,2.114,2.968,-2.271,5.697,-0.448,3.003,0.949,3.82,5.152,12.0944,2.132,3.106,3.225,7.896,2.762,13.3118,2.262,1.838,1.385,2.523,-3.519,4.435,2.267,-2.347,-1.125,5.906,-2.24,5.557,PPGL,4
S1405,0.9286,-1.9884,3.4656,5.0026,-0.6474,1.8206,-2.0254,15.92,5.6506,-1.4444,0.2146,8.4026,1.4576,1.2836,0.6286,4.4446,3.3346,-0.9494,4.3556,3.3886,1.8776,5.5906,3.0036,7.9406,1.3386,0.3376,0.9546,3.5586,-1.7624,-0.0784,4.8036,4.0656,-3.6684,2.6176,-1.7544,2.9656,3.7926,1.6936,2.7766,5.4026,3.2506,4.1936,-0.7984,2.8446,7.1856,0.7196,4.4886,6.4716,4.2496,3.3166,1.0866,1.3276,1.1866,6.7806,0.0656,3.4826,0.0096,4.1946,5.3896,5.3676,-7.5374,6.1436,8.9606,1.0166,1.6786,4.4226,-1.7574,3.7666,5.6056,2.8876,6.0766,7.6506,8.4116,1.1026,7.3926,3.1966,5.5846,-1.3584,4.8796,4.8996,2.9816,3.8346,0.2386,2.2046,0.7576,0.9556,6.6236,8.0496,5.3646,-3.6244,0.1386,5.2456,5.4596,-1.2314,3.3746,3.3396,3.8826,2.1676,5.5276,-0.1224,4.6956,0.3736,1.1526,2.2816,-1.4544,4.3016,2.7706,4.1286,1.7846,6.0606,6.7226,4.7326,3.6966,1.6946,3.1096,4.6216,3.8866,6.4876,1.6336,1.9706,0.5326,4.0696,-2.4924,5.2436,3.9136,-2.4754,0.6356,5.5306,-2.7884,8.4546,PHT,2
S1404,1.685,-1.142,2.679,5.349,-0.28,1.424,-1.996,8.505,5.995,-0.84,0.605,7.915,1.837,1.603,1.241,5.969,3.433,-1.618,4.468,2.432,1.715,4.607,4.349,6.937,0.992,-0.7,1.932,3.35,-1.692,-0.629,4.744,3.075,-5.675,2.862,-1.358,3.23,4.183,1.847,3.529,6.373,3.971,5.078,-1.347,3.301,6.629,0.937,4.836,4.623,3.82,3.724,0.771,1.938,1.41,5.692,0.042,4.889,1.367,5.013,4.775,5.599,-8.984,6.206,7.598,1.403,2.36,4.281,-0.846,3.395,5.372,2.36,5.888,6.265,7.329,1.765,5.666,3.339,4.859,-0.82,5.069,4.354,2.679,3.789,0.364,-0.317,1.139,0.574,6.398,5.702,5.655,-3.072,0.788,4.267,4.31,-0.558,3.816,2.88,4.19,2.693,5.943,-0.564,5.207,0.968,1.775,3.322,-2.021,5.062,0.477,3.193,2.049,6.026,7.027,6.199,2.899,2.753,3.813,6.07,3.324,5.192,1.869,2.339,0.799,3.547,-3.193,5.493,3.621,-1.947,0.667,5.958,-2.336,5.073,PHT,2
S1289,1.6316,-0.9264,1.5916,2.9166,-0.4124,0.9246,-1.9004,10.3506,4.7736,-1.4244,0.7586,6.5856,1.7266,1.7786,0.8826,6.7296,1.5536,-1.3594,4.5126,2.4686,1.5716,6.0086,6.0976,7.3036,1.0976,-0.1984,1.8516,3.3446,-2.2254,-1.2904,4.6286,3.1196,-5.7484,3.6226,-1.6394,2.9446,4.9356,1.7786,2.6126,6.0036,4.3186,4.9496,-1.4934,3.1146,5.7886,0.7966,3.9376,5.2776,5.2226,3.6686,0.3816,2.1776,1.1546,7.5536,-0.8354,5.2676,1.0376,5.0856,4.7616,6.3696,-7.9734,6.6056,11.1106,1.0526,1.9386,4.5936,-0.7504,3.7226,5.2696,1.9126,6.9946,7.7996,8.5196,1.9236,8.1936,3.1756,4.7916,-0.7774,5.0836,3.9596,2.6936,3.1736,0.0946,3.0286,1.8256,0.3106,6.3746,7.3726,7.1186,-3.2234,0.7386,4.1906,4.6726,-0.7174,4.1796,2.5816,3.9026,2.2456,4.5256,-1.8854,3.8586,1.0076,1.8276,2.7926,-2.3594,4.9976,0.4566,3.2206,2.2206,6.2016,6.7976,5.7246,4.2286,2.3226,3.0826,5.4416,3.5726,6.1706,1.4756,1.9156,0.6966,3.4236,-3.5034,4.4236,4.2076,-2.7184,1.0846,5.8986,-2.4524,6.3136,PA,3
S1068,2.1554,-0.5086,4.0454,5.6924,0.5154,0.3754,-1.9666,11.3214,5.6844,-0.5196,0.7224,8.9324,1.4134,2.3384,1.6694,8.3934,4.2794,-2.7796,3.6134,3.6434,1.6724,5.0994,6.9184,5.7354,0.9684,-0.2006,2.3614,3.0484,-2.0186,-1.8166,4.6964,2.3634,-6.9836,3.8184,-1.2406,2.9594,4.5334,2.2224,3.2784,6.5424,3.9874,5.4614,-2.2136,3.7764,6.3454,1.3154,4.1094,5.0624,3.9524,4.3334,0.6804,1.9904,2.0884,6.7804,1.7794,5.5754,2.1884,5.7054,4.2774,6.1074,-8.5366,7.4844,10.9584,1.5514,2.2904,5.2834,-0.3326,2.9724,6.2064,2.5144,6.6304,7.0404,6.7464,1.6494,5.1154,3.6814,5.1714,-0.2956,5.1604,3.1274,3.6024,3.8424,1.1844,0.4004,1.1314,0.1504,7.5014,5.8184,7.2974,-2.3916,0.8784,3.6414,6.5354,-0.6906,4.0814,4.7114,4.1234,2.7624,4.0084,-1.5576,3.5304,1.2524,2.4164,2.9364,-2.2516,5.7294,-0.3636,2.0514,2.4094,6.0304,7.0094,6.0204,3.6164,3.8514,4.2854,7.2904,2.9204,6.7704,2.1734,1.7624,1.8294,3.0764,-3.5716,5.0554,3.6724,-1.8296,0.7754,6.7564,-1.7246,6.2864,PPGL,4
S1276,1.371,-0.689,3.342,5.04,-0.459,1.336,-1.53,8.032,5.178,-1.038,0.819,7.195,0.683,1.945,1.057,6.829,3.486,-0.801,4.224,3.164,1.36,5.253,5.779,6.861,1.467,0.121,2.337,2.534,-1.559,-0.773,5.015,3.397,-5.94,4.174,-1.639,3.234,4.924,2.248,2.4,5.969,4.208,4.721,-1.007,3.333,5.874,0.893,4.221,4.172,4.673,3.895,0.203,2.436,1.624,5.493,0.313,7.721,0.816,5.323,4.653,5.799,-7.611,6.542,8.338,1.68,1.59,4.579,-0.593,3.449,6.052,2.514,7.0,6.346,7.123,2.337,6.561,3.836,4.345,-0.856,4.57,3.767,2.719,3.235,0.239,0.244,1.883,0.557,5.559,6.54,6.412,-2.959,0.835,4.39,5.019,-0.347,3.968,3.294,4.186,2.319,5.344,-2.115,3.806,1.387,1.811,2.787,-1.708,5.252,0.902,3.535,2.746,5.507,7.344,6.149,3.468,2.799,3.472,6.031,3.589,5.83,2.009,1.975,1.006,3.649,-2.843,4.508,3.79,-1.932,0.942,5.773,-2.408,6.841,PA,3
S1058,0.4816,-1.8444,1.5186,3.1026,-0.9574,2.1076,-1.7564,15.92,4.8506,-1.6744,0.5256,7.9466,0.5886,1.0936,0.4576,4.5176,2.0736,0.4706,4.5026,2.9956,1.5196,4.9956,3.0806,9.0906,1.2716,0.0556,1.2386,3.2096,-1.7274,0.1386,5.4366,3.6626,-3.3354,3.0706,-1.9324,2.6556,3.1186,2.4216,2.3626,5.6546,3.3696,4.5216,-0.2674,2.8326,7.0196,0.5656,4.2446,4.0596,4.3196,2.4226,0.6596,1.3876,1.0356,7.3076,2.7076,3.3096,0.2666,4.7436,5.3016,5.8096,-7.6394,6.3616,9.5696,0.7026,1.6856,4.6046,-1.4354,3.8516,5.6136,2.9786,6.5606,7.5616,8.2816,1.4656,7.8686,3.2086,2.9566,-0.9774,4.9546,4.8116,2.7366,3.8436,-0.0104,2.7346,0.9846,0.9096,6.5326,7.3116,7.3726,-3.7734,0.1626,5.3266,3.6766,-1.1574,3.1976,1.4196,4.2196,1.6346,5.7476,-0.6304,5.4496,0.3686,0.7216,1.9576,-1.4844,4.4996,3.6346,4.5796,1.9676,6.0626,6.0116,5.7016,3.1686,1.6206,2.9316,5.2136,3.4456,4.5156,1.1316,1.7746,0.0716,3.8786,-2.6424,3.8056,3.2656,-2.6404,1.0706,5.8086,-2.7354,8.9016,PHT,2
S1439,3.1322,0.8912,4.2562,5.4092,0.4692,-0.7918,-2.2958,9.6202,5.0672,0.1512,0.9872,7.3602,2.7512,2.1782,2.5432,7.7592,4.6822,-3.1758,2.9672,3.5872,3.0322,4.7902,6.9652,6.3222,0.8032,-1.5238,3.5152,4.1232,-2.8948,-2.8988,4.6782,1.3802,-7.6138,3.9992,-0.1048,2.1062,4.4602,3.6102,4.3892,5.2782,4.2672,5.2392,-2.6908,4.7052,5.7322,1.9732,3.5022,6.1402,4.6542,4.2042,1.6112,3.0602,2.3362,5.2542,0.0892,5.7772,2.3732,6.8262,3.6292,6.1912,-9.0138,7.9872,8.8432,1.1032,3.3592,4.8812,0.5392,2.6402,5.5492,2.8412,5.6492,7.8362,6.1452,0.8742,5.1492,3.5712,6.3812,0.8952,4.0912,3.2362,4.4292,4.5952,1.7872,0.0472,1.1412,-1.2228,8.4912,5.3492,9.2982,-1.9528,1.9992,3.1542,5.6572,-1.4288,4.9832,4.3462,4.7192,3.7752,3.7732,-0.0098,3.3012,1.8712,3.9532,5.7922,-2.8188,7.3562,-1.0258,1.2472,1.2742,5.4342,6.5722,4.9832,3.3692,4.2202,5.4682,7.7482,2.5952,7.3222,2.3102,0.5412,2.2962,1.6572,-4.0758,7.7802,3.2742,-2.5088,-0.0958,6.2182,-0.9118,6.6722,PA,3
