model_type,id,score
LogisticRegressionRFE,LG-123-1,0.4027777777777778
LogisticRegressionRFE,LG-124-1,0.4027777777777778
LogisticRegressionRFE,LG-125-1,0.4027777777777778
LogisticRegressionRFE,LG-126-1,0.4027777777777778
LogisticRegressionRFE,LG-127-1,0.4027777777777778
LogisticRegressionRFE,LG-128-1,0.375
LogisticRegressionRFE,LG-129-1,0.4027777777777778
LogisticRegressionRFE,LG-130-1,0.4027777777777778
LogisticRegressionRFE,LG-131-1,0.4027777777777778
LogisticRegressionRFE,LG-132-1,0.4027777777777778
LogisticRegressionRFE,LG-133-1,0.375
LogisticRegressionRFE,LG-134-1,0.375
LogisticRegressionRFE,LG-135-1,0.375
LogisticRegressionRFE,LG-136-1,0.375
LogisticRegressionRFE,LG-137-1,0.375
LogisticRegressionRFE,LG-138-1,0.3472222222222222
LogisticRegressionRFE,LG-139-1,0.3472222222222222
LogisticRegressionRFE,LG-140-1,0.3472222222222222
LogisticRegressionRFE,LG-141-1,0.3472222222222222
LogisticRegressionRFE,LG-142-1,0.3472222222222222
LogisticRegressionRFE,LG-143-1,0.3472222222222222
LogisticRegressionRFE,LG-144-1,0.3194444444444444
LogisticRegressionRFE,LG-145-1,0.29166666666666663
LogisticRegressionRFE,LG-146-1,0.29166666666666663
LogisticRegressionRFE,LG-147-1,0.29166666666666663
LogisticRegressionRFE,LG-148-1,0.29166666666666663
LogisticRegressionRFE,LG-149-1,0.29166666666666663
LogisticRegressionRFE,LG-150-1,0.29166666666666663
LogisticRegressionRFE,LG-151-1,0.3194444444444444
LogisticRegressionRFE,LG-152-1,0.3194444444444444
LogisticRegressionRFE,LG-153-1,0.3194444444444444
LogisticRegressionRFE,LG-154-1,0.3194444444444444
LogisticRegressionRFE,LG-155-1,0.3194444444444444
LogisticRegressionRFE,LG-156-1,0.3194444444444444
LogisticRegressionRFE,LG-157-1,0.3194444444444444
LogisticRegressionRFE,LG-158-1,0.3194444444444444
LogisticRegressionRFE,LG-159-1,0.3194444444444444
LogisticRegressionRFE,LG-160-1,0.36111111111111105
LogisticRegressionRFE,LG-161-1,0.3194444444444444
LogisticRegressionRFE,LG-162-1,0.3194444444444444
LogisticRegressionRFE,LG-163-1,0.29166666666666663
LogisticRegressionRFE,LG-164-1,0.3194444444444444
LogisticRegressionRFE,LG-165-1,0.3194444444444444
LogisticRegressionRFE,LG-166-1,0.3194444444444444
LogisticRegressionRFE,LG-167-1,0.29166666666666663
LogisticRegressionRFE,LG-168-1,0.29166666666666663
LogisticRegressionRFE,LG-169-1,0.29166666666666663
LogisticRegressionRFE,LG-170-1,0.29166666666666663
LogisticRegressionRFE,LG-171-1,0.29166666666666663
LogisticRegressionRFE,LG-172-1,0.29166666666666663
LogisticRegressionRFE,LG-173-1,0.29166666666666663
LogisticRegressionRFE,LG-174-1,0.29166666666666663
LogisticRegressionRFE,LG-175-1,0.29166666666666663
LogisticRegressionRFE,LG-176-1,0.29166666666666663
LogisticRegressionRFE,LG-177-1,0.29166666666666663
LogisticRegressionRFE,LG-178-1,0.29166666666666663
LogisticRegressionRFE,LG-1-2,0.3055555555555556
LogisticRegressionRFE,LG-2-2,0.3333333333333333
LogisticRegressionRFE,LG-3-2,0.3333333333333333
LogisticRegressionRFE,LG-4-2,0.41666666666666663
LogisticRegressionRFE,LG-5-2,0.49999999999999994
LogisticRegressionRFE,LG-6-2,0.47222222222222215
LogisticRegressionRFE,LG-7-2,0.4861111111111111
LogisticRegressionRFE,LG-8-2,0.4861111111111111
LogisticRegressionRFE,LG-9-2,0.38888888888888884
LogisticRegressionRFE,LG-10-2,0.41666666666666663
LogisticRegressionRFE,LG-11-2,0.4305555555555555
LogisticRegressionRFE,LG-12-2,0.4861111111111111
LogisticRegressionRFE,LG-13-2,0.44444444444444436
LogisticRegressionRFE,LG-14-2,0.25
LogisticRegressionRFE,LG-15-2,0.27777777777777773
LogisticRegressionRFE,LG-16-2,0.3333333333333333
LogisticRegressionRFE,LG-17-2,0.40277777777777773
LogisticRegressionRFE,LG-18-2,0.40277777777777773
LogisticRegressionRFE,LG-19-2,0.4583333333333333
LogisticRegressionRFE,LG-20-2,0.4305555555555555
LogisticRegressionRFE,LG-21-2,0.47222222222222215
LogisticRegressionRFE,LG-22-2,0.47222222222222215
LogisticRegressionRFE,LG-23-2,0.44444444444444436
LogisticRegressionRFE,LG-24-2,0.47222222222222215
LogisticRegressionRFE,LG-25-2,0.38888888888888884
LogisticRegressionRFE,LG-26-2,0.49999999999999994
LogisticRegressionRFE,LG-27-2,0.41666666666666663
LogisticRegressionRFE,LG-28-2,0.4722222222222222
LogisticRegressionRFE,LG-29-2,0.4444444444444444
LogisticRegressionRFE,LG-30-2,0.4444444444444444
LogisticRegressionRFE,LG-31-2,0.4444444444444444
LogisticRegressionRFE,LG-32-2,0.5277777777777778
LogisticRegressionRFE,LG-33-2,0.4583333333333333
LogisticRegressionRFE,LG-34-2,0.4305555555555555
LogisticRegressionRFE,LG-35-2,0.37499999999999994
LogisticRegressionRFE,LG-36-2,0.513888888888889
LogisticRegressionRFE,LG-37-2,0.49999999999999994
LogisticRegressionRFE,LG-38-2,0.47222222222222215
LogisticRegressionRFE,LG-39-2,0.375
LogisticRegressionRFE,LG-40-2,0.4861111111111111
LogisticRegressionRFE,LG-41-2,0.5416666666666666
LogisticRegressionRFE,LG-42-2,0.5416666666666666
LogisticRegressionRFE,LG-43-2,0.4861111111111111
LogisticRegressionRFE,LG-44-2,0.4583333333333333
LogisticRegressionRFE,LG-45-2,0.4583333333333333
LogisticRegressionRFE,LG-46-2,0.4583333333333333
LogisticRegressionRFE,LG-47-2,0.4583333333333333
LogisticRegressionRFE,LG-48-2,0.4861111111111111
LogisticRegressionRFE,LG-49-2,0.4583333333333333
LogisticRegressionRFE,LG-50-2,0.4583333333333333
LogisticRegressionRFE,LG-51-2,0.4583333333333333
LogisticRegressionRFE,LG-52-2,0.4861111111111111
LogisticRegressionRFE,LG-53-2,0.4861111111111111
LogisticRegressionRFE,LG-54-2,0.513888888888889
LogisticRegressionRFE,LG-55-2,0.4722222222222222
LogisticRegressionRFE,LG-56-2,0.5555555555555556
LogisticRegressionRFE,LG-57-2,0.5555555555555556
LogisticRegressionRFE,LG-58-2,0.5972222222222222
LogisticRegressionRFE,LG-59-2,0.513888888888889
LogisticRegressionRFE,LG-60-2,0.4444444444444444
LogisticRegressionRFE,LG-61-2,0.5694444444444444
LogisticRegressionRFE,LG-62-2,0.5277777777777778
LogisticRegressionRFE,LG-63-2,0.48611111111111116
LogisticRegressionRFE,LG-64-2,0.5972222222222222
LogisticRegressionRFE,LG-65-2,0.5972222222222222
LogisticRegressionRFE,LG-66-2,0.5694444444444444
LogisticRegressionRFE,LG-67-2,0.5972222222222222
LogisticRegressionRFE,LG-68-2,0.625
LogisticRegressionRFE,LG-69-2,0.625
LogisticRegressionRFE,LG-70-2,0.5833333333333334
LogisticRegressionRFE,LG-71-2,0.5277777777777778
LogisticRegressionRFE,LG-72-2,0.5277777777777778
LogisticRegressionRFE,LG-73-2,0.5
LogisticRegressionRFE,LG-74-2,0.5277777777777778
LogisticRegressionRFE,LG-75-2,0.5277777777777778
LogisticRegressionRFE,LG-76-2,0.5277777777777778
LogisticRegressionRFE,LG-77-2,0.5
LogisticRegressionRFE,LG-78-2,0.5
LogisticRegressionRFE,LG-79-2,0.5
