model_type,id,score
GradientBoostingRFE,GB-1-1,0.3194444444444445
GradientBoostingRFE,GB-2-1,0.3472222222222222
GradientBoostingRFE,GB-3-1,0.38888888888888884
GradientBoostingRFE,GB-4-1,0.3611111111111111
GradientBoostingRFE,GB-5-1,0.3333333333333333
GradientBoostingRFE,GB-6-1,0.38888888888888884
GradientBoostingRFE,GB-7-1,0.23611111111111108
GradientBoostingRFE,GB-8-1,0.4444444444444444
GradientBoostingRFE,GB-9-1,0.4722222222222222
GradientBoostingRFE,GB-10-1,0.3055555555555555
GradientBoostingRFE,GB-11-1,0.38888888888888884
GradientBoostingRFE,GB-12-1,0.4722222222222222
GradientBoostingRFE,GB-13-1,0.4722222222222222
GradientBoostingRFE,GB-14-1,0.4722222222222222
GradientBoostingRFE,GB-15-1,0.38888888888888884
GradientBoostingRFE,GB-16-1,0.5138888888888888
GradientBoostingRFE,GB-17-1,0.5416666666666666
GradientBoostingRFE,GB-18-1,0.5
GradientBoostingRFE,GB-19-1,0.45833333333333337
GradientBoostingRFE,GB-20-1,0.2916666666666667
GradientBoostingRFE,GB-21-1,0.41666666666666663
GradientBoostingRFE,GB-22-1,0.4583333333333333
GradientBoostingRFE,GB-23-1,0.4027777777777778
GradientBoostingRFE,GB-24-1,0.4444444444444444
GradientBoostingRFE,GB-25-1,0.3611111111111111
GradientBoostingRFE,GB-26-1,0.4444444444444444
GradientBoostingRFE,GB-27-1,0.4444444444444444
GradientBoostingRFE,GB-28-1,0.4444444444444444
GradientBoostingRFE,GB-29-1,0.4861111111111111
GradientBoostingRFE,GB-30-1,0.3472222222222222
GradientBoostingRFE,GB-31-1,0.4305555555555555
GradientBoostingRFE,GB-32-1,0.3472222222222222
GradientBoostingRFE,GB-33-1,0.375
GradientBoostingRFE,GB-34-1,0.3472222222222222
GradientBoostingRFE,GB-35-1,0.4583333333333333
GradientBoostingRFE,GB-36-1,0.4027777777777778
GradientBoostingRFE,GB-37-1,0.4861111111111111
GradientBoostingRFE,GB-38-1,0.4583333333333333
GradientBoostingRFE,GB-39-1,0.4861111111111111
GradientBoostingRFE,GB-40-1,0.4583333333333333
GradientBoostingRFE,GB-41-1,0.3472222222222222
GradientBoostingRFE,GB-42-1,0.375
GradientBoostingRFE,GB-43-1,0.3472222222222222
GradientBoostingRFE,GB-44-1,0.3472222222222222
GradientBoostingRFE,GB-45-1,0.3472222222222222
GradientBoostingRFE,GB-46-1,0.3472222222222222
GradientBoostingRFE,GB-47-1,0.4305555555555555
GradientBoostingRFE,GB-48-1,0.3472222222222222
GradientBoostingRFE,GB-49-1,0.375
GradientBoostingRFE,GB-50-1,0.4305555555555556
GradientBoostingRFE,GB-51-1,0.375
GradientBoostingRFE,GB-52-1,0.375
GradientBoostingRFE,GB-53-1,0.375
GradientBoostingRFE,GB-54-1,0.375
GradientBoostingRFE,GB-55-1,0.375
GradientBoostingRFE,GB-56-1,0.375
GradientBoostingRFE,GB-57-1,0.41666666666666663
GradientBoostingRFE,GB-58-1,0.41666666666666663
GradientBoostingRFE,GB-59-1,0.41666666666666663
GradientBoostingRFE,GB-60-1,0.4444444444444444
GradientBoostingRFE,GB-61-1,0.375
GradientBoostingRFE,GB-62-1,0.41666666666666663
GradientBoostingRFE,GB-63-1,0.375
GradientBoostingRFE,GB-64-1,0.3472222222222222
GradientBoostingRFE,GB-65-1,0.375
GradientBoostingRFE,GB-66-1,0.3472222222222222
GradientBoostingRFE,GB-67-1,0.375
GradientBoostingRFE,GB-68-1,0.375
GradientBoostingRFE,GB-69-1,0.375
GradientBoostingRFE,GB-70-1,0.4583333333333333
GradientBoostingRFE,GB-71-1,0.375
GradientBoostingRFE,GB-72-1,0.375
GradientBoostingRFE,GB-73-1,0.4583333333333333
GradientBoostingRFE,GB-74-1,0.375
GradientBoostingRFE,GB-75-1,0.375
GradientBoostingRFE,GB-76-1,0.4027777777777778
