model_id,param,value
SVM-65,class_weight,balanced
SVM-65,gamma,auto
SVM-65,kernel,rbf
SVM-66,C,0.01
SVM-66,class_weight,balanced
SVM-66,gamma,auto
SVM-66,kernel,sigmoid
SVM-67,C,0.015
SVM-67,class_weight,
SVM-67,gamma,scale
SVM-67,kernel,rbf
SVM-68,C,0.015
SVM-68,class_weight,
SVM-68,gamma,scale
SVM-68,kernel,sigmoid
SVM-69,C,0.015
SVM-69,class_weight,
SVM-69,gamma,auto
SVM-69,kernel,rbf
SVM-70,C,0.015
SVM-70,class_weight,
SVM-70,gamma,auto
SVM-70,kernel,sigmoid
SVM-71,C,0.015
SVM-71,class_weight,balanced
SVM-71,gamma,scale
SVM-71,kernel,rbf
SVM-72,C,0.015
SVM-72,class_weight,balanced
SVM-72,gamma,scale
SVM-72,kernel,sigmoid
SVM-73,C,0.015
SVM-73,class_weight,balanced
SVM-73,gamma,auto
SVM-73,kernel,rbf
SVM-74,C,0.015
SVM-74,class_weight,balanced
SVM-74,gamma,auto
SVM-74,kernel,sigmoid
SVM-75,C,0.02
SVM-75,class_weight,
SVM-75,gamma,scale
SVM-75,kernel,rbf
SVM-76,C,0.02
SVM-76,class_weight,
SVM-76,gamma,scale
SVM-76,kernel,sigmoid
SVM-77,C,0.02
SVM-77,class_weight,
SVM-77,gamma,auto
SVM-77,kernel,rbf
SVM-78,C,0.02
SVM-78,class_weight,
SVM-78,gamma,auto
SVM-78,kernel,sigmoid
SVM-79,C,0.02
SVM-79,class_weight,balanced
SVM-79,gamma,scale
SVM-79,kernel,rbf
SVM-80,C,0.02
SVM-80,class_weight,balanced
SVM-80,gamma,scale
SVM-80,kernel,sigmoid
SVM-81,C,0.02
SVM-81,class_weight,balanced
SVM-81,gamma,auto
SVM-81,kernel,rbf
SVM-82,C,0.02
SVM-82,class_weight,balanced
SVM-82,gamma,auto
SVM-82,kernel,sigmoid
SVM-83,C,0.025
SVM-83,class_weight,
SVM-83,gamma,scale
SVM-83,kernel,rbf
SVM-84,C,0.025
SVM-84,class_weight,
SVM-84,gamma,scale
SVM-84,kernel,sigmoid
SVM-85,C,0.025
SVM-85,class_weight,
SVM-85,gamma,auto
SVM-85,kernel,rbf
SVM-86,C,0.025
SVM-86,class_weight,
SVM-86,gamma,auto
SVM-86,kernel,sigmoid
SVM-87,C,0.025
SVM-87,class_weight,balanced
SVM-87,gamma,scale
SVM-87,kernel,rbf
SVM-88,C,0.025
SVM-88,class_weight,balanced
SVM-88,gamma,scale
SVM-88,kernel,sigmoid
SVM-89,C,0.025
SVM-89,class_weight,balanced
SVM-89,gamma,auto
SVM-89,kernel,rbf
SVM-90,C,0.025
SVM-90,class_weight,balanced
SVM-90,gamma,auto
SVM-90,kernel,sigmoid
SVM-91,C,0.03
SVM-91,class_weight,
SVM-91,gamma,scale
SVM-91,kernel,rbf
SVM-92,C,0.03
SVM-92,class_weight,
SVM-92,gamma,scale
SVM-92,kernel,sigmoid
SVM-93,C,0.03
SVM-93,class_weight,
SVM-93,gamma,auto
SVM-93,kernel,rbf
SVM-94,C,0.03
SVM-94,class_weight,
SVM-94,gamma,auto
SVM-94,kernel,sigmoid
SVM-95,C,0.03
SVM-95,class_weight,balanced
SVM-95,gamma,scale
SVM-95,kernel,rbf
SVM-96,C,0.03
SVM-96,class_weight,balanced
SVM-96,gamma,scale
SVM-96,kernel,sigmoid
SVM-97,C,0.03
SVM-97,class_weight,balanced
SVM-97,gamma,auto
SVM-97,kernel,rbf
SVM-98,C,0.03
SVM-98,class_weight,balanced
SVM-98,gamma,auto
SVM-98,kernel,sigmoid
SVM-99,C,0.05
SVM-99,class_weight,
SVM-99,gamma,scale
SVM-99,kernel,rbf
SVM-100,C,0.05
SVM-100,class_weight,
SVM-100,gamma,scale
SVM-100,kernel,sigmoid
SVM-101,C,0.05
SVM-101,class_weight,
SVM-101,gamma,auto
SVM-101,kernel,rbf
SVM-102,C,0.05
SVM-102,class_weight,
SVM-102,gamma,auto
SVM-102,kernel,sigmoid
SVM-103,C,0.05
SVM-103,class_weight,balanced
SVM-103,gamma,scale
SVM-103,kernel,rbf
SVM-104,C,0.05
SVM-104,class_weight,balanced
SVM-104,gamma,scale
SVM-104,kernel,sigmoid
SVM-105,C,0.05
SVM-105,class_weight,balanced
SVM-105,gamma,auto
SVM-105,kernel,rbf
SVM-106,C,0.05
SVM-106,class_weight,balanced
SVM-106,gamma,auto
SVM-106,kernel,sigmoid
SVM-107,C,0.07
SVM-107,class_weight,
SVM-107,gamma,scale
SVM-107,kernel,rbf
SVM-108,C,0.07
SVM-108,class_weight,
SVM-108,gamma,scale
SVM-108,kernel,sigmoid
SVM-109,C,0.07
SVM-109,class_weight,
SVM-109,gamma,auto
SVM-109,kernel,rbf
SVM-110,C,0.07
SVM-110,class_weight,
SVM-110,gamma,auto
SVM-110,kernel,sigmoid
SVM-111,C,0.07
SVM-111,class_weight,balanced
SVM-111,gamma,scale
SVM-111,kernel,rbf
SVM-112,C,0.07
SVM-112,class_weight,balanced
SVM-112,gamma,scale
SVM-112,kernel,sigmoid
SVM-113,C,0.07
SVM-113,class_weight,balanced
SVM-113,gamma,auto
SVM-113,kernel,rbf
SVM-114,C,0.07
SVM-114,class_weight,balanced
SVM-114,gamma,auto
SVM-114,kernel,sigmoid
SVM-115,C,0.1
SVM-115,class_weight,
SVM-115,gamma,scale
SVM-115,kernel,rbf
SVM-116,C,0.1
SVM-116,class_weight,
SVM-116,gamma,scale
SVM-116,kernel,sigmoid
SVM-117,C,0.1
SVM-117,class_weight,
SVM-117,gamma,auto
SVM-117,kernel,rbf
SVM-118,C,0.1
SVM-118,class_weight,
SVM-118,gamma,auto
SVM-118,kernel,sigmoid
SVM-119,C,0.1
SVM-119,class_weight,balanced
SVM-119,gamma,scale
SVM-119,kernel,rbf
SVM-120,C,0.1
SVM-120,class_weight,balanced
SVM-120,gamma,scale
SVM-120,kernel,sigmoid
SVM-121,C,0.1
SVM-121,class_weight,balanced
SVM-121,gamma,auto
SVM-121,kernel,rbf
SVM-122,C,0.1
SVM-122,class_weight,balanced
SVM-122,gamma,auto
SVM-122,kernel,sigmoid
SVM-123,C,0.12
SVM-123,class_weight,
SVM-123,gamma,scale
SVM-123,kernel,rbf
SVM-124,C,0.12
SVM-124,class_weight,
SVM-124,gamma,scale
SVM-124,kernel,sigmoid
SVM-125,C,0.12
SVM-125,class_weight,
SVM-125,gamma,auto
SVM-125,kernel,rbf
SVM-126,C,0.12
SVM-126,class_weight,
SVM-126,gamma,auto
SVM-126,kernel,sigmoid
SVM-127,C,0.12
SVM-127,class_weight,balanced
SVM-127,gamma,scale
SVM-127,kernel,rbf
SVM-128,C,0.12
SVM-128,class_weight,balanced
SVM-128,gamma,scale
SVM-128,kernel,sigmoid
SVM-129,C,0.12
SVM-129,class_weight,balanced
SVM-129,gamma,auto
SVM-129,kernel,rbf
SVM-130,C,0.12
SVM-130,class_weight,balanced
SVM-130,gamma,auto
SVM-130,kernel,sigmoid
SVM-131,C,0.15
SVM-131,class_weight,
SVM-131,gamma,scale
SVM-131,kernel,rbf
SVM-132,C,0.15
SVM-132,class_weight,
SVM-132,gamma,scale
SVM-132,kernel,sigmoid
SVM-133,C,0.15
SVM-133,class_weight,
SVM-133,gamma,auto
SVM-133,kernel,rbf
SVM-134,C,0.15
SVM-134,class_weight,
SVM-134,gamma,auto
SVM-134,kernel,sigmoid
SVM-135,C,0.15
SVM-135,class_weight,balanced
SVM-135,gamma,scale
SVM-135,kernel,rbf
SVM-136,C,0.15
SVM-136,class_weight,balanced
SVM-136,gamma,scale
SVM-136,kernel,sigmoid
SVM-137,C,0.15
SVM-137,class_weight,balanced
SVM-137,gamma,auto
SVM-137,kernel,rbf
SVM-138,C,0.15
SVM-138,class_weight,balanced
SVM-138,gamma,auto
SVM-138,kernel,sigmoid
SVM-139,C,0.2
SVM-139,class_weight,
SVM-139,gamma,scale
SVM-139,kernel,rbf
SVM-140,C,0.2
SVM-140,class_weight,
SVM-140,gamma,scale
SVM-140,kernel,sigmoid
SVM-141,C,0.2
SVM-141,class_weight,
SVM-141,gamma,auto
SVM-141,kernel,rbf
SVM-142,C,0.2
SVM-142,class_weight,
SVM-142,gamma,auto
SVM-142,kernel,sigmoid
SVM-143,C,0.2
SVM-143,class_weight,balanced
SVM-143,gamma,scale
SVM-143,kernel,rbf
SVM-144,C,0.2
SVM-144,class_weight,balanced
SVM-144,gamma,scale
SVM-144,kernel,sigmoid
SVM-145,C,0.2
SVM-145,class_weight,balanced
SVM-145,gamma,auto
SVM-145,kernel,rbf
SVM-146,C,0.2
SVM-146,class_weight,balanced
SVM-146,gamma,auto
SVM-146,kernel,sigmoid
SVM-147,C,0.25
SVM-147,class_weight,
SVM-147,gamma,scale
SVM-147,kernel,rbf
SVM-148,C,0.25
SVM-148,class_weight,
SVM-148,gamma,scale
SVM-148,kernel,sigmoid
SVM-149,C,0.25
SVM-149,class_weight,
SVM-149,gamma,auto
SVM-149,kernel,rbf
SVM-150,C,0.25
SVM-150,class_weight,
SVM-150,gamma,auto
SVM-150,kernel,sigmoid
SVM-151,C,0.25
SVM-151,class_weight,balanced
SVM-151,gamma,scale
SVM-151,kernel,rbf
SVM-152,C,0.25
SVM-152,class_weight,balanced
SVM-152,gamma,scale
SVM-152,kernel,sigmoid
SVM-153,C,0.25
SVM-153,class_weight,balanced
SVM-153,gamma,auto
SVM-153,kernel,rbf
SVM-154,C,0.25
SVM-154,class_weight,balanced
SVM-154,gamma,auto
SVM-154,kernel,sigmoid
SVM-155,C,0.3
SVM-155,class_weight,
SVM-155,gamma,scale
SVM-155,kernel,rbf
SVM-156,C,0.3
SVM-156,class_weight,
SVM-156,gamma,scale
SVM-156,kernel,sigmoid
SVM-157,C,0.3
SVM-157,class_weight,
SVM-157,gamma,auto
SVM-157,kernel,rbf
SVM-158,C,0.3
SVM-158,class_weight,
SVM-158,gamma,auto
SVM-158,kernel,sigmoid
SVM-159,C,0.3
SVM-159,class_weight,balanced
SVM-159,gamma,scale
SVM-159,kernel,rbf
SVM-160,C,0.3
SVM-160,class_weight,balanced
SVM-160,gamma,scale
SVM-160,kernel,sigmoid
SVM-161,C,0.3
SVM-161,class_weight,balanced
SVM-161,gamma,auto
SVM-161,kernel,rbf
SVM-162,C,0.3
SVM-162,class_weight,balanced
SVM-162,gamma,auto
SVM-162,kernel,sigmoid
SVM-163,C,0.5
SVM-163,class_weight,
SVM-163,gamma,scale
SVM-163,kernel,rbf
SVM-164,C,0.5
SVM-164,class_weight,
SVM-164,gamma,scale
SVM-164,kernel,sigmoid
SVM-165,C,0.5
SVM-165,class_weight,
SVM-165,gamma,auto
SVM-165,kernel,rbf
SVM-166,C,0.5
SVM-166,class_weight,
SVM-166,gamma,auto
SVM-166,kernel,sigmoid
SVM-167,C,0.5
SVM-167,class_weight,balanced
SVM-167,gamma,scale
SVM-167,kernel,rbf
SVM-168,C,0.5
SVM-168,class_weight,balanced
SVM-168,gamma,scale
SVM-168,kernel,sigmoid
SVM-169,C,0.5
SVM-169,class_weight,balanced
SVM-169,gamma,auto
SVM-169,kernel,rbf
SVM-170,C,0.5
SVM-170,class_weight,balanced
SVM-170,gamma,auto
SVM-170,kernel,sigmoid
SVM-171,C,1
SVM-171,class_weight,
SVM-171,gamma,scale
SVM-171,kernel,rbf
SVM-172,C,1
SVM-172,class_weight,
SVM-172,gamma,scale
SVM-172,kernel,sigmoid
SVM-173,C,1
SVM-173,class_weight,
SVM-173,gamma,auto
SVM-173,kernel,rbf
SVM-174,C,1
SVM-174,class_weight,
SVM-174,gamma,auto
SVM-174,kernel,sigmoid
SVM-175,C,1
SVM-175,class_weight,balanced
SVM-175,gamma,scale
SVM-175,kernel,rbf
SVM-176,C,1
SVM-176,class_weight,balanced
SVM-176,gamma,scale
SVM-176,kernel,sigmoid
SVM-177,C,1
SVM-177,class_weight,balanced
SVM-177,gamma,auto
SVM-177,kernel,rbf
SVM-178,C,1
SVM-178,class_weight,balanced
SVM-178,gamma,auto
SVM-178,kernel,sigmoid
SVM-179,C,3
SVM-179,class_weight,
SVM-179,gamma,scale
SVM-179,kernel,rbf
SVM-180,C,3
SVM-180,class_weight,
