model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted
GaussianNaiveBayes,GNB-1-1,0.44722222222222213,0.42105263157894735,0.4967105263157895,0.3939393939393939,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.3939393939393939,0.38391919191919194,0.42105263157894735,0.4238277511961723,0.38228916677192537,0.38651011620190745,0.389124835899272,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.4168021180271633,0.4179769686651783,0.4189952795522641
GaussianNaiveBayes,GNB-1-2,0.3272222222222222,0.5263157894736842,0.3880847953216375,0.4444444444444445,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.4444444444444445,0.36937119675456387,0.5263157894736842,0.4378669798227821,0.4087027772986027,0.42539373859598584,0.43292749721024987,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.4842398064334546,0.5038963188726643,0.5127643190558118
GaussianNaiveBayes,GNB-1-3,0.2777777777777778,0.43243243243243246,0.32432432432432434,0.3711111111111111,0.43243243243243246,0.43243243243243246,0.43243243243243246,0.3711111111111111,0.3141880341880342,0.43243243243243246,0.36632016632016634,0.3448773448773449,0.35729260257562145,0.3627994227994228,0.43243243243243246,0.43243243243243246,0.43243243243243246,0.40189540189540185,0.41633277482334086,0.4227448227448227
GaussianNaiveBayes,GNB-1-4,0.5035897435897436,0.40540540540540543,0.516978516978517,0.4066666666666666,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.4066666666666666,0.3762424242424242,0.40540540540540543,0.36461916461916466,0.38967390395961826,0.3974398892925099,0.4010618639724724,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.38301863012287723,0.3932827482386382,0.39804821293949344
GaussianNaiveBayes,GNB-1-5,0.33983193277310925,0.40540540540540543,0.4017033840563253,0.3488888888888889,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.3488888888888889,0.30488215488215487,0.40540540540540543,0.3564132314132314,0.32466940264477884,0.33556091400436067,0.3407360715855693,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.3780634619787906,0.39031499139454323,0.3961645561312549
GaussianNaiveBayes,GNB-1-6,0.38864468864468865,0.4864864864864865,0.4061479061479061,0.46698412698412695,0.4864864864864865,0.4864864864864865,0.4864864864864865,0.46698412698412695,0.41472158657513347,0.4864864864864865,0.43264889603562373,0.4417653941787334,0.453498087672845,0.4588212751997478,0.4864864864864865,0.4864864864864865,0.4864864864864865,0.460535678284691,0.4726223133990125,0.47809884771195593
GaussianNaiveBayes,GNB-1-7,0.4243137254901961,0.5135135135135135,0.48839427662957074,0.4595959595959596,0.5135135135135135,0.5135135135135135,0.5135135135135135,0.4595959595959596,0.41571428571428576,0.5135135135135135,0.47123552123552126,0.43561826606255893,0.44643095810898537,0.4515535633794355,0.5135135135135135,0.5135135135135135,0.5135135135135135,0.4895628105167818,0.5002691788477674,0.505402627679271
GaussianNaiveBayes,GNB-1-8,0.45,0.4594594594594595,0.4941441441441441,0.4325757575757576,0.4594594594594595,0.4594594594594595,0.4594594594594595,0.4325757575757576,0.42976926455187325,0.4594594594594595,0.4682000334174248,0.42822120149706355,0.42974817212105343,0.4307402902077655,0.4594594594594595,0.4594594594594595,0.4594594594594595,0.4609799021495201,0.4598601969192899,0.4596032392674039
GaussianNaiveBayes,GNB-1-9,0.37160839160839165,0.43243243243243246,0.38066528066528066,0.4121212121212121,0.43243243243243246,0.43243243243243246,0.43243243243243246,0.4121212121212121,0.37750132908027645,0.43243243243243246,0.39595384858542754,0.3932022932022932,0.401533277111651,0.40558325174360277,0.43243243243243246,0.43243243243243246,0.43243243243243246,0.4138752652266165,0.4222564580321632,0.42619914689320354
GaussianNaiveBayes,GNB-1-10,0.6399999999999999,0.6216216216216216,0.741891891891892,0.601010101010101,0.6216216216216216,0.6216216216216216,0.6216216216216216,0.601010101010101,0.5304761904761904,0.6216216216216216,0.5827541827541827,0.5636555673320379,0.5806367127339922,0.5885850123925973,0.6216216216216216,0.6216216216216216,0.6216216216216216,0.5990434989838807,0.6091817243099553,0.6140164132870914
