model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,roc_auc_macro,roc_auc_micro,roc_auc_weighted
GradientBoosting,GB-13-3,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-14-3,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-15-3,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-16-3,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-17-3,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-18-3,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-19-3,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-20-3,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-21-3,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-22-3,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-23-3,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-24-3,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-25-3,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-26-3,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-27-3,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-28-3,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-1-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-2-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-3-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-4-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-5-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-6-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-7-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-8-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-9-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-10-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-11-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-12-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-13-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-14-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-15-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-16-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-17-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-18-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-19-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-20-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-21-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-22-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-23-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-24-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-25-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-26-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-27-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-28-4,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-1-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-2-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-3-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-4-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-5-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-6-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-7-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-8-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-9-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-10-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-11-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-12-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-13-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-14-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-15-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-16-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-17-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-18-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-19-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-20-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-21-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-22-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-23-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-24-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-25-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-26-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-27-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-28-5,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-1-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-2-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-3-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-4-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-5-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-6-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-7-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-8-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-9-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-10-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-11-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-12-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-13-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-14-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-15-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-16-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-17-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-18-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-19-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-20-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-21-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-22-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-23-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-24-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-25-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-26-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-27-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-28-6,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-1-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-2-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-3-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-4-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-5-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-6-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-7-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-8-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-9-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-10-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-11-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-12-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-13-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-14-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-15-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-16-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-17-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-18-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-19-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-20-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-21-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-22-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-23-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-24-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-25-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-26-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-27-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-28-7,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-1-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-2-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-3-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-4-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-5-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-6-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-7-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-8-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-9-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-10-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-11-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-12-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-13-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-14-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-15-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-16-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-17-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-18-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-19-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-20-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-21-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-22-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-23-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-24-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-25-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-26-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-27-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-28-8,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-1-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-2-9,,,,,,,,,,,,,,,,,,,,,,,
