model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,roc_auc_macro,roc_auc_micro,roc_auc_weighted
RandomForest,RF-3-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-4-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-5-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-6-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-7-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-8-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-9-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-10-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-11-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-12-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-13-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-14-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-15-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-16-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-17-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-18-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-19-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-20-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-21-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-22-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-23-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-24-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-25-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-26-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-27-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-28-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-29-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-30-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-31-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-32-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-33-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-34-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-35-3,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-1-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-2-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-3-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-4-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-5-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-6-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-7-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-8-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-9-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-10-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-11-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-12-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-13-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-14-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-15-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-16-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-17-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-18-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-19-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-20-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-21-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-22-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-23-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-24-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-25-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-26-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-27-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-28-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-29-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-30-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-31-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-32-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-33-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-34-4,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-35-4,,,,,,,,,,,,,,,,,,,,,,,
