model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,roc_auc_macro,roc_auc_micro,roc_auc_weighted
LogisticRegression,LG-18-3,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-19-3,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-20-3,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-21-3,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-22-3,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-23-3,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-24-3,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-25-3,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-26-3,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-27-3,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-28-3,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-29-3,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-30-3,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-31-3,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-1-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-2-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-3-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-4-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-5-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-6-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-7-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-8-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-9-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-10-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-11-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-12-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-13-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-14-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-15-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-16-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-17-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-18-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-19-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-20-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-21-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-22-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-23-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-24-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-25-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-26-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-27-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-28-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-29-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-30-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-31-4,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-1-5,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-2-5,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-3-5,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-4-5,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-5-5,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-6-5,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-7-5,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-8-5,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-9-5,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-10-5,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-11-5,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-12-5,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-13-5,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-14-5,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,LG-15-5,,,,,,,,,,,,,,,,,,,,,,,
