model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef
LinearSVC,LSCM-1-1,0.4057142857142857,0.42105263157894735,0.4418546365914786,0.39797979797979793,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.39797979797979793,0.3981746031746031,0.42105263157894735,0.42791353383458647,0.39704016913319234,0.39732118034870323,0.39754454854647114,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42286388981615425,0.4217891998553514,0.42144342912397414,0.25820763087843834,0.25982308561169726
LinearSVC,LSCM-2-1,0.5160533910533911,0.47368421052631576,0.5172163362952836,0.502020202020202,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.502020202020202,0.4980736154110767,0.47368421052631576,0.4843979142903699,0.4971136099043075,0.498896949364239,0.5000068545393495,0.4736842105263158,0.4736842105263158,0.47368421052631576,0.47489306898731626,0.473692809895466,0.47353460409718195,0.33157431838170615,0.3372098418945659
LinearSVC,LSCM-3-1,0.45833333333333337,0.4473684210526316,0.47916666666666663,0.4686868686868687,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4686868686868687,0.4558887414614968,0.4473684210526316,0.456290882003771,0.46155788655788654,0.4647587948201403,0.4662850129783768,0.4473684210526315,0.4473684210526315,0.4473684210526316,0.44927769598822226,0.44803622399584786,0.44769034560525583,0.29815303430079154,0.3008129092513207
LinearSVC,LSCM-4-1,0.45833333333333337,0.4473684210526316,0.47916666666666663,0.4686868686868687,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4686868686868687,0.4558887414614968,0.4473684210526316,0.456290882003771,0.46155788655788654,0.4647587948201403,0.4662850129783768,0.4473684210526315,0.4473684210526315,0.4473684210526316,0.44927769598822226,0.44803622399584786,0.44769034560525583,0.29815303430079154,0.3008129092513207
LinearSVC,LSCM-5-1,0.48277777777777775,0.4473684210526316,0.4817982456140351,0.4686868686868687,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4686868686868687,0.47025799793601647,0.4473684210526316,0.45826951279126615,0.4679588527414615,0.4680830691121566,0.46827191496527887,0.4473684210526315,0.4473684210526315,0.4473684210526316,0.45027884015298203,0.44857727886627446,0.4480189643549273,0.29442970822281167,0.2970591547290773
LinearSVC,LSCM-6-1,0.45833333333333337,0.4473684210526316,0.47916666666666663,0.4686868686868687,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4686868686868687,0.4558887414614968,0.4473684210526316,0.456290882003771,0.46155788655788654,0.4647587948201403,0.4662850129783768,0.4473684210526315,0.4473684210526315,0.4473684210526316,0.44927769598822226,0.44803622399584786,0.44769034560525583,0.29815303430079154,0.3008129092513207
LinearSVC,LSCM-7-1,0.48277777777777775,0.4473684210526316,0.4817982456140351,0.4686868686868687,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4686868686868687,0.47025799793601647,0.4473684210526316,0.45826951279126615,0.4679588527414615,0.4680830691121566,0.46827191496527887,0.4473684210526315,0.4473684210526315,0.4473684210526316,0.45027884015298203,0.44857727886627446,0.4480189643549273,0.29442970822281167,0.2970591547290773
LinearSVC,LSCM-8-1,0.45833333333333337,0.4473684210526316,0.47916666666666663,0.4686868686868687,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4686868686868687,0.4558887414614968,0.4473684210526316,0.456290882003771,0.46155788655788654,0.4647587948201403,0.4662850129783768,0.4473684210526315,0.4473684210526315,0.4473684210526316,0.44927769598822226,0.44803622399584786,0.44769034560525583,0.29815303430079154,0.3008129092513207
LinearSVC,LSCM-9-1,0.48277777777777775,0.4473684210526316,0.4817982456140351,0.4686868686868687,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4686868686868687,0.47025799793601647,0.4473684210526316,0.45826951279126615,0.4679588527414615,0.4680830691121566,0.46827191496527887,0.4473684210526315,0.4473684210526315,0.4473684210526316,0.45027884015298203,0.44857727886627446,0.4480189643549273,0.29442970822281167,0.2970591547290773
LinearSVC,LSCM-10-1,0.48277777777777775,0.4473684210526316,0.4817982456140351,0.4686868686868687,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4686868686868687,0.47025799793601647,0.4473684210526316,0.45826951279126615,0.4679588527414615,0.4680830691121566,0.46827191496527887,0.4473684210526315,0.4473684210526315,0.4473684210526316,0.45027884015298203,0.44857727886627446,0.4480189643549273,0.29442970822281167,0.2970591547290773
LinearSVC,LSCM-1-2,0.4595238095238095,0.47368421052631576,0.5366541353383458,0.397979797979798,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.397979797979798,0.4044168391994479,0.47368421052631576,0.4789146779993462,0.39588779956427017,0.39617302538146953,0.396731574206154,0.4736842105263158,0.4736842105263158,0.47368421052631576,0.4705344857241142,0.47124289565570726,0.4720361028245936,0.3146979260595131,0.32363797130709165
LinearSVC,LSCM-2-2,0.4282051282051282,0.4473684210526316,0.4939271255060729,0.37575757575757573,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.37575757575757573,0.3831700463279411,0.4473684210526316,0.4519072801621278,0.3752580091865806,0.37495823600592515,0.375154996700275,0.4473684210526315,0.4473684210526315,0.4473684210526316,0.44550909095082025,0.44584169390584394,0.4463254598258751,0.27913279132791324,0.2849089398335228
