model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,roc_auc_macro,roc_auc_micro,roc_auc_weighted
KNearestNeighbours,KNN-9-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-10-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-11-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-12-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-13-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-14-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-15-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-16-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-17-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-18-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-19-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-20-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-21-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-22-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-23-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-24-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-25-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-26-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-27-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-28-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-29-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-30-2,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-1-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-2-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-3-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-4-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-5-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-6-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-7-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-8-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-9-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-10-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-11-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-12-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-13-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-14-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-15-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-16-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-17-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-18-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-19-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-20-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-21-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-22-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-23-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-24-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-25-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-26-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-27-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-28-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-29-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-30-3,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-1-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-2-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-3-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-4-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-5-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-6-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-7-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-8-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-9-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-10-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-11-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-12-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-13-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-14-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-15-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-16-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-17-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-18-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-19-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-20-4,,,,,,,,,,,,,,,,,,,,,,,
KNearestNeighbours,KNN-21-4,,,,,,,,,,,,,,,,,,,,,,,
