model_id,param,value
GB-13,min_samples_leaf,1
GB-13,min_samples_split,8
GB-13,n_estimators,300
GB-14,learning_rate,0.05
GB-14,max_depth,
GB-14,max_features,
GB-14,min_samples_leaf,1
GB-14,min_samples_split,8
GB-14,n_estimators,500
GB-15,learning_rate,0.05
GB-15,max_depth,
GB-15,max_features,
GB-15,min_samples_leaf,1
GB-15,min_samples_split,8
GB-15,n_estimators,1000
GB-16,learning_rate,0.05
GB-16,max_depth,
GB-16,max_features,
GB-16,min_samples_leaf,1
GB-16,min_samples_split,16
GB-16,n_estimators,50
GB-17,learning_rate,0.05
GB-17,max_depth,
GB-17,max_features,
GB-17,min_samples_leaf,1
GB-17,min_samples_split,16
GB-17,n_estimators,100
GB-18,learning_rate,0.05
GB-18,max_depth,
GB-18,max_features,
GB-18,min_samples_leaf,1
GB-18,min_samples_split,16
GB-18,n_estimators,300
GB-19,learning_rate,0.05
GB-19,max_depth,
GB-19,max_features,
GB-19,min_samples_leaf,1
GB-19,min_samples_split,16
GB-19,n_estimators,500
GB-20,learning_rate,0.05
GB-20,max_depth,
GB-20,max_features,
GB-20,min_samples_leaf,1
GB-20,min_samples_split,16
GB-20,n_estimators,1000
GB-21,learning_rate,0.05
GB-21,max_depth,
GB-21,max_features,
GB-21,min_samples_leaf,1
GB-21,min_samples_split,32
GB-21,n_estimators,50
GB-22,learning_rate,0.05
GB-22,max_depth,
GB-22,max_features,
GB-22,min_samples_leaf,1
GB-22,min_samples_split,32
GB-22,n_estimators,100
GB-23,learning_rate,0.05
GB-23,max_depth,
GB-23,max_features,
GB-23,min_samples_leaf,1
GB-23,min_samples_split,32
GB-23,n_estimators,300
GB-24,learning_rate,0.05
GB-24,max_depth,
GB-24,max_features,
GB-24,min_samples_leaf,1
GB-24,min_samples_split,32
GB-24,n_estimators,500
GB-25,learning_rate,0.05
GB-25,max_depth,
GB-25,max_features,
GB-25,min_samples_leaf,1
GB-25,min_samples_split,32
GB-25,n_estimators,1000
GB-26,learning_rate,0.05
GB-26,max_depth,
GB-26,max_features,
GB-26,min_samples_leaf,4
GB-26,min_samples_split,2
GB-26,n_estimators,50
GB-27,learning_rate,0.05
GB-27,max_depth,
GB-27,max_features,
GB-27,min_samples_leaf,4
GB-27,min_samples_split,2
GB-27,n_estimators,100
GB-28,learning_rate,0.05
GB-28,max_depth,
GB-28,max_features,
GB-28,min_samples_leaf,4
GB-28,min_samples_split,2
GB-28,n_estimators,300
GB-29,learning_rate,0.05
GB-29,max_depth,
GB-29,max_features,
GB-29,min_samples_leaf,4
GB-29,min_samples_split,2
GB-29,n_estimators,500
GB-30,learning_rate,0.05
GB-30,max_depth,
GB-30,max_features,
GB-30,min_samples_leaf,4
