model_id,param,value
ERF-30,min_samples_leaf,4
ERF-30,min_samples_split,2
ERF-30,n_estimators,1000
ERF-31,class_weight,
ERF-31,criterion,gini
ERF-31,max_depth,
ERF-31,max_features,
ERF-31,min_samples_leaf,4
ERF-31,min_samples_split,4
ERF-31,n_estimators,50
ERF-32,class_weight,
ERF-32,criterion,gini
ERF-32,max_depth,
ERF-32,max_features,
ERF-32,min_samples_leaf,4
ERF-32,min_samples_split,4
ERF-32,n_estimators,100
ERF-33,class_weight,
ERF-33,criterion,gini
ERF-33,max_depth,
ERF-33,max_features,
ERF-33,min_samples_leaf,4
ERF-33,min_samples_split,4
ERF-33,n_estimators,300
ERF-34,class_weight,
ERF-34,criterion,gini
ERF-34,max_depth,
ERF-34,max_features,
ERF-34,min_samples_leaf,4
ERF-34,min_samples_split,4
ERF-34,n_estimators,500
ERF-35,class_weight,
ERF-35,criterion,gini
ERF-35,max_depth,
ERF-35,max_features,
ERF-35,min_samples_leaf,4
ERF-35,min_samples_split,4
ERF-35,n_estimators,1000
ERF-36,class_weight,
ERF-36,criterion,gini
ERF-36,max_depth,
ERF-36,max_features,
ERF-36,min_samples_leaf,4
ERF-36,min_samples_split,8
ERF-36,n_estimators,50
ERF-37,class_weight,
ERF-37,criterion,gini
ERF-37,max_depth,
ERF-37,max_features,
ERF-37,min_samples_leaf,4
ERF-37,min_samples_split,8
ERF-37,n_estimators,100
ERF-38,class_weight,
ERF-38,criterion,gini
ERF-38,max_depth,
ERF-38,max_features,
ERF-38,min_samples_leaf,4
ERF-38,min_samples_split,8
ERF-38,n_estimators,300
ERF-39,class_weight,
ERF-39,criterion,gini
ERF-39,max_depth,
ERF-39,max_features,
ERF-39,min_samples_leaf,4
ERF-39,min_samples_split,8
ERF-39,n_estimators,500
ERF-40,class_weight,
ERF-40,criterion,gini
ERF-40,max_depth,
ERF-40,max_features,
ERF-40,min_samples_leaf,4
ERF-40,min_samples_split,8
ERF-40,n_estimators,1000
ERF-41,class_weight,
ERF-41,criterion,gini
ERF-41,max_depth,
ERF-41,max_features,
ERF-41,min_samples_leaf,4
ERF-41,min_samples_split,16
ERF-41,n_estimators,50
ERF-42,class_weight,
ERF-42,criterion,gini
ERF-42,max_depth,
ERF-42,max_features,
ERF-42,min_samples_leaf,4
ERF-42,min_samples_split,16
ERF-42,n_estimators,100
ERF-43,class_weight,
ERF-43,criterion,gini
ERF-43,max_depth,
