model_id,param,value
RF-33,class_weight,
RF-33,criterion,gini
RF-33,max_depth,
RF-33,max_features,
RF-33,min_samples_leaf,4
RF-33,min_samples_split,8
RF-33,n_estimators,300
RF-34,class_weight,
RF-34,criterion,gini
RF-34,max_depth,
RF-34,max_features,
RF-34,min_samples_leaf,4
RF-34,min_samples_split,8
RF-34,n_estimators,500
RF-35,class_weight,
RF-35,criterion,gini
RF-35,max_depth,
RF-35,max_features,
RF-35,min_samples_leaf,4
RF-35,min_samples_split,8
RF-35,n_estimators,1000
RF-36,class_weight,
RF-36,criterion,gini
RF-36,max_depth,
RF-36,max_features,
RF-36,min_samples_leaf,4
RF-36,min_samples_split,16
RF-36,n_estimators,50
RF-37,class_weight,
RF-37,criterion,gini
RF-37,max_depth,
RF-37,max_features,
RF-37,min_samples_leaf,4
RF-37,min_samples_split,16
RF-37,n_estimators,100
RF-38,class_weight,
RF-38,criterion,gini
RF-38,max_depth,
RF-38,max_features,
RF-38,min_samples_leaf,4
RF-38,min_samples_split,16
RF-38,n_estimators,300
RF-39,class_weight,
RF-39,criterion,gini
RF-39,max_depth,
RF-39,max_features,
RF-39,min_samples_leaf,4
RF-39,min_samples_split,16
RF-39,n_estimators,500
RF-40,class_weight,
RF-40,criterion,gini
RF-40,max_depth,
RF-40,max_features,
RF-40,min_samples_leaf,4
RF-40,min_samples_split,16
RF-40,n_estimators,1000
RF-41,class_weight,
RF-41,criterion,gini
RF-41,max_depth,
RF-41,max_features,
RF-41,min_samples_leaf,4
RF-41,min_samples_split,32
RF-41,n_estimators,50
RF-42,class_weight,
RF-42,criterion,gini
RF-42,max_depth,
RF-42,max_features,
RF-42,min_samples_leaf,4
RF-42,min_samples_split,32
RF-42,n_estimators,100
RF-43,class_weight,
RF-43,criterion,gini
RF-43,max_depth,
RF-43,max_features,
RF-43,min_samples_leaf,4
RF-43,min_samples_split,32
RF-43,n_estimators,300
RF-44,class_weight,
RF-44,criterion,gini
RF-44,max_depth,
RF-44,max_features,
RF-44,min_samples_leaf,4
RF-44,min_samples_split,32
RF-44,n_estimators,500
RF-45,class_weight,
RF-45,criterion,gini
RF-45,max_depth,
RF-45,max_features,
RF-45,min_samples_leaf,4
RF-45,min_samples_split,32
RF-45,n_estimators,1000
RF-46,class_weight,
RF-46,criterion,gini
RF-46,max_depth,
RF-46,max_features,
RF-46,min_samples_leaf,4
RF-46,min_samples_split,64
RF-46,n_estimators,50
RF-47,class_weight,
RF-47,criterion,gini
RF-47,max_depth,
RF-47,max_features,
RF-47,min_samples_leaf,4
RF-47,min_samples_split,64
RF-47,n_estimators,100
RF-48,class_weight,
RF-48,criterion,gini
RF-48,max_depth,
RF-48,max_features,
RF-48,min_samples_leaf,4
RF-48,min_samples_split,64
RF-48,n_estimators,300
RF-49,class_weight,
RF-49,criterion,gini
RF-49,max_depth,
RF-49,max_features,
RF-49,min_samples_leaf,4
RF-49,min_samples_split,64
RF-49,n_estimators,500
RF-50,class_weight,
RF-50,criterion,gini
RF-50,max_depth,
RF-50,max_features,
RF-50,min_samples_leaf,4
RF-50,min_samples_split,64
RF-50,n_estimators,1000
RF-51,class_weight,
RF-51,criterion,gini
RF-51,max_depth,
RF-51,max_features,
RF-51,min_samples_leaf,8
RF-51,min_samples_split,4
RF-51,n_estimators,50
RF-52,class_weight,
RF-52,criterion,gini
RF-52,max_depth,
RF-52,max_features,
RF-52,min_samples_leaf,8
RF-52,min_samples_split,4
RF-52,n_estimators,100
RF-53,class_weight,
RF-53,criterion,gini
RF-53,max_depth,
RF-53,max_features,
RF-53,min_samples_leaf,8
RF-53,min_samples_split,4
RF-53,n_estimators,300
RF-54,class_weight,
RF-54,criterion,gini
RF-54,max_depth,
RF-54,max_features,
RF-54,min_samples_leaf,8
RF-54,min_samples_split,4
RF-54,n_estimators,500
RF-55,class_weight,
RF-55,criterion,gini
RF-55,max_depth,
RF-55,max_features,
RF-55,min_samples_leaf,8
RF-55,min_samples_split,4
