model_id,param,value
SVM-80,kernel,rbf
SVM-81,C,0.5
SVM-81,gamma,auto
SVM-81,kernel,sigmoid
SVM-82,C,1
SVM-82,gamma,scale
SVM-82,kernel,rbf
SVM-83,C,1
SVM-83,gamma,scale
SVM-83,kernel,sigmoid
SVM-84,C,1
SVM-84,gamma,auto
SVM-84,kernel,rbf
SVM-85,C,1
SVM-85,gamma,auto
SVM-85,kernel,sigmoid
SVM-86,C,2
SVM-86,gamma,scale
SVM-86,kernel,rbf
SVM-87,C,2
SVM-87,gamma,scale
SVM-87,kernel,sigmoid
SVM-88,C,2
SVM-88,gamma,auto
SVM-88,kernel,rbf
SVM-89,C,2
SVM-89,gamma,auto
SVM-89,kernel,sigmoid
SVM-90,C,4
SVM-90,gamma,scale
SVM-90,kernel,rbf
SVM-91,C,4
SVM-91,gamma,scale
SVM-91,kernel,sigmoid
SVM-92,C,4
SVM-92,gamma,auto
SVM-92,kernel,rbf
SVM-93,C,4
SVM-93,gamma,auto
SVM-93,kernel,sigmoid
SVM-94,C,8
SVM-94,gamma,scale
SVM-94,kernel,rbf
SVM-95,C,8
SVM-95,gamma,scale
SVM-95,kernel,sigmoid
SVM-96,C,8
SVM-96,gamma,auto
SVM-96,kernel,rbf
SVM-97,C,8
SVM-97,gamma,auto
SVM-97,kernel,sigmoid
SVM-98,C,16
SVM-98,gamma,scale
SVM-98,kernel,rbf
SVM-99,C,16
SVM-99,gamma,scale
SVM-99,kernel,sigmoid
SVM-100,C,16
SVM-100,gamma,auto
SVM-100,kernel,rbf
SVM-101,C,16
SVM-101,gamma,auto
SVM-101,kernel,sigmoid
SVM-102,C,32
SVM-102,gamma,scale
SVM-102,kernel,rbf
SVM-103,C,32
SVM-103,gamma,scale
SVM-103,kernel,sigmoid
SVM-104,C,32
SVM-104,gamma,auto
SVM-104,kernel,rbf
SVM-105,C,32
SVM-105,gamma,auto
SVM-105,kernel,sigmoid
SVM-106,C,64
SVM-106,gamma,scale
SVM-106,kernel,rbf
SVM-107,C,64
SVM-107,gamma,scale
SVM-107,kernel,sigmoid
SVM-108,C,64
SVM-108,gamma,auto
SVM-108,kernel,rbf
SVM-109,C,64
SVM-109,gamma,auto
SVM-109,kernel,sigmoid
SVM-110,C,128
SVM-110,gamma,scale
SVM-110,kernel,rbf
SVM-111,C,128
SVM-111,gamma,scale
SVM-111,kernel,sigmoid
SVM-112,C,128
SVM-112,gamma,auto
SVM-112,kernel,rbf
SVM-113,C,128
SVM-113,gamma,auto
SVM-113,kernel,sigmoid
SVM-114,C,256
SVM-114,gamma,scale
SVM-114,kernel,rbf
SVM-115,C,256
SVM-115,gamma,scale
SVM-115,kernel,sigmoid
SVM-116,C,256
SVM-116,gamma,auto
SVM-116,kernel,rbf
SVM-117,C,256
SVM-117,gamma,auto
SVM-117,kernel,sigmoid
SVM-118,C,512
SVM-118,gamma,scale
SVM-118,kernel,rbf
SVM-119,C,512
SVM-119,gamma,scale
SVM-119,kernel,sigmoid
SVM-120,C,512
SVM-120,gamma,auto
SVM-120,kernel,rbf
SVM-121,C,512
SVM-121,gamma,auto
SVM-121,kernel,sigmoid
SVM-122,C,1024
SVM-122,gamma,scale
SVM-122,kernel,rbf
SVM-123,C,1024
SVM-123,gamma,scale
SVM-123,kernel,sigmoid
SVM-124,C,1024
SVM-124,gamma,auto
SVM-124,kernel,rbf
SVM-125,C,1024
SVM-125,gamma,auto
SVM-125,kernel,sigmoid
SVM-126,C,0.001
SVM-126,degree,2
SVM-126,gamma,scale
SVM-126,kernel,poly
SVM-127,C,0.001
SVM-127,degree,2
SVM-127,gamma,auto
SVM-127,kernel,poly
SVM-128,C,0.001
SVM-128,degree,3
SVM-128,gamma,scale
SVM-128,kernel,poly
SVM-129,C,0.001
SVM-129,degree,3
SVM-129,gamma,auto
SVM-129,kernel,poly
SVM-130,C,0.001
SVM-130,degree,4
SVM-130,gamma,scale
SVM-130,kernel,poly
SVM-131,C,0.001
SVM-131,degree,4
SVM-131,gamma,auto
SVM-131,kernel,poly
SVM-132,C,0.05
SVM-132,degree,2
SVM-132,gamma,scale
SVM-132,kernel,poly
SVM-133,C,0.05
SVM-133,degree,2
SVM-133,gamma,auto
SVM-133,kernel,poly
SVM-134,C,0.05
SVM-134,degree,3
SVM-134,gamma,scale
SVM-134,kernel,poly
SVM-135,C,0.05
SVM-135,degree,3
SVM-135,gamma,auto
SVM-135,kernel,poly
SVM-136,C,0.05
SVM-136,degree,4
SVM-136,gamma,scale
SVM-136,kernel,poly
SVM-137,C,0.05
SVM-137,degree,4
SVM-137,gamma,auto
SVM-137,kernel,poly
SVM-138,C,0.01
SVM-138,degree,2
SVM-138,gamma,scale
SVM-138,kernel,poly
SVM-139,C,0.01
SVM-139,degree,2
SVM-139,gamma,auto
SVM-139,kernel,poly
SVM-140,C,0.01
SVM-140,degree,3
SVM-140,gamma,scale
SVM-140,kernel,poly
SVM-141,C,0.01
SVM-141,degree,3
SVM-141,gamma,auto
SVM-141,kernel,poly
SVM-142,C,0.01
SVM-142,degree,4
SVM-142,gamma,scale
SVM-142,kernel,poly
SVM-143,C,0.01
SVM-143,degree,4
SVM-143,gamma,auto
SVM-143,kernel,poly
SVM-144,C,0.2
SVM-144,degree,2
SVM-144,gamma,scale
SVM-144,kernel,poly
SVM-145,C,0.2
SVM-145,degree,2
SVM-145,gamma,auto
SVM-145,kernel,poly
SVM-146,C,0.2
SVM-146,degree,3
SVM-146,gamma,scale
SVM-146,kernel,poly
SVM-147,C,0.2
SVM-147,degree,3
SVM-147,gamma,auto
SVM-147,kernel,poly
SVM-148,C,0.2
SVM-148,degree,4
SVM-148,gamma,scale
SVM-148,kernel,poly
SVM-149,C,0.2
SVM-149,degree,4
SVM-149,gamma,auto
SVM-149,kernel,poly
SVM-150,C,0.03
SVM-150,degree,2
SVM-150,gamma,scale
SVM-150,kernel,poly
SVM-151,C,0.03
SVM-151,degree,2
SVM-151,gamma,auto
SVM-151,kernel,poly
SVM-152,C,0.03
SVM-152,degree,3
SVM-152,gamma,scale
SVM-152,kernel,poly
SVM-153,C,0.03
SVM-153,degree,3
SVM-153,gamma,auto
SVM-153,kernel,poly
SVM-154,C,0.03
SVM-154,degree,4
SVM-154,gamma,scale
SVM-154,kernel,poly
SVM-155,C,0.03
SVM-155,degree,4
SVM-155,gamma,auto
SVM-155,kernel,poly
SVM-156,C,0.05
SVM-156,degree,2
SVM-156,gamma,scale
SVM-156,kernel,poly
SVM-157,C,0.05
SVM-157,degree,2
SVM-157,gamma,auto
SVM-157,kernel,poly
SVM-158,C,0.05
SVM-158,degree,3
SVM-158,gamma,scale
SVM-158,kernel,poly
SVM-159,C,0.05
SVM-159,degree,3
SVM-159,gamma,auto
SVM-159,kernel,poly
SVM-160,C,0.05
SVM-160,degree,4
SVM-160,gamma,scale
SVM-160,kernel,poly
SVM-161,C,0.05
SVM-161,degree,4
SVM-161,gamma,auto
SVM-161,kernel,poly
SVM-162,C,0.07
SVM-162,degree,2
